XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X.A...........A.,...<...,:...........:..X
X...............,.B...B.,A.....A....AW..X
X...............,.......,...............X
X...............,...:...,...............X
X...............,.......,...............X
X...............,...:...,...............X
X...............,...W...,...............X
X.A.............,...A...,...............X
X.....A.........,...W...,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,..........H....X
X...............,.......,...A...........X
X...............,.......,...............X
X.......H.......,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X.....A.........,.......,...............X
X...............,.......,...............X
X...............,.......,........A......X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,....A..........X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X.........H.....,.......,...............X
X...............,.......,.........H.....X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,.....E.........X
X......E........,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X..........A....,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...A...........X
X....A..........,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,..........A....X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X........A......,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X.......A.......,.......,.......A.......X
X...............,.......,...A...........X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X..A............,.......,...............X
X...............,.......,...A...........X
X...............,.......,..........H....X
X...............,.......,...............X
X...............,.......,...............X
X.........A.....,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,...W...,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...H...........,.......,...............X
X...............,.......,.........A.....X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X.......A.......,.......,.......A.......X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...A...........,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X........A......,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...A......:....X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X.......A.......,.......,.......A.......X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,.....:.........X
X..........A....,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X....E..........,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,......E........X
X...............,.......,...............X
X.....A.........,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,........H......X
X...............,.......,...............X
X..........A....,.......,...............X
X...H...........,.......,....A..........X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,........A......X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X...............,.......,...............X
X.......A.......,.......,...............X
X...............,.......,...............X
X...............,.......,.........H.....X
X...............,...W...,...............X
X.......A.......,...A...,.......A.......X
X...............,...W...,...............X
X...............,...:...,...............X
X...............,.......,...............X
X.....H.........,...:...,...............X
X.:.............,.......,............A..X
XWA.....A....WA.,.B...B.,A.....A......:.X
X............:..,.......,...............X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
