----------------------------------XXX-------------------------XXX--------------------
----------------------------------XEX-------------------------XEX--------------------
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXX--
X...........,.......,..........................................................++HX--
X...........,.......,..........................................................XXXX--
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...<.......,,,,,,,,,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...W.......,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...A.......,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X..A........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,.......E.......E.......E.......E.......E.......E.......E..X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...H.......,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................X-----
X...........,.......,..........................................................XXXXX>
X...........,.......,..........................................................,++E.>
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
