------------------------------------------------------------------------XXXXXXXXXXXXX-------XXXXXXXXXXXXX---XXXXXXXXXXXXXXXXXXXXX
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X.......K...X-------X...K.......XXXXX...............>...X
------------------------------------------------------------------------X...........X-------X...........L...L...............>:..X
------------------------------------------------------------------------X...........X-------X...........L...L...............>...X
------------------------------------------------------------------------X...........X-------X...........L...L...............>...X
------------------------------------------------------------------------X...........X-------X...........XXXXX...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------X...........X-------X...........X---X...............>...X
------------------------------------------------------------------------XXXXXLLLXXXXX-------XXXXXLLLXXXXX---XXXXXXXXXXXXXXXXXXXXX
----------------------------------------------------------------------------X...X---------------X...X----------------------------
------------------------------------------------------------------XXXXXXWXXXXLLLXXXXXXXXXXXXXXXWXLLLXXXXXXXXXXX------------------
------------------------------------------------------------------X.....,WW..T.WW.,.....,.....,WW.:..WW.,.....X------------------
------------------------------------------------------------------X.....,,,,,,,,,,,.....,.....,,:,,,,:,,,.....X------------------
------------------------------------------------------------------X.......,:..:.,.......,.......,.....,.......X------------------
------------------------------------------------------------------X........,...,........,........,A..,........X------------------
------------------------------------------------------------------X........,A..,........,........,...,........X------------------
------------------------------------------------------------------X........,...,........,........,...,........X------------------
------------------------------------------------------------------X.........,.,.........,.........,A,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,A,.........,.........,A,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,A,.........X------------------
------------------------------------------------------------------X.........,A,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,A,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,A,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,<,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........<.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
------------------------------------------------------------------X.........,.,.........,.........,.,.........X------------------
