z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99
-5.408624559640884399e-02,-7.899515628814697266e-01,-5.129402279853820801e-01,2.102548182010650635e-01,-8.046290874481201172e-01,-6.891651749610900879e-01,4.351739287376403809e-01,4.526494145393371582e-01,4.950527101755142212e-02,-7.321372628211975098e-01,-8.675646185874938965e-01,5.690705776214599609e-01,-1.742324531078338623e-01,-7.685395479202270508e-01,1.755851656198501587e-01,-8.017927408218383789e-01,4.087238609790802002e-01,-4.459677934646606445e-01,9.777402281761169434e-01,-1.685207188129425049e-01,-9.360011816024780273e-01,9.306182861328125000e-01,6.415222287178039551e-01,-3.301343619823455811e-01,3.655990585684776306e-02,-5.489377975463867188e-01,-9.505846500396728516e-01,-1.568930894136428833e-01,-3.714386820793151855e-01,6.969373226165771484e-01,1.938411593437194824e-01,3.919750452041625977e-01,7.865028381347656250e-01,5.592593550682067871e-01,-4.318282306194305420e-01,5.645616650581359863e-01,6.736016273498535156e-01,-5.734450817108154297e-01,-6.284412741661071777e-01,-2.550210803747177124e-02,3.914022147655487061e-01,8.388985991477966309e-01,2.160301208496093750e-01,7.872471213340759277e-01,9.294617176055908203e-01,4.350264072418212891e-01,-1.125481203198432922e-01,3.087516501545906067e-02,-6.986188888549804688e-01,-9.731665998697280884e-02,3.465059399604797363e-01,7.152216434478759766e-01,3.013795912265777588e-01,-6.620895117521286011e-02,5.435470864176750183e-02,-8.922767639160156250e-01,2.077112197875976562e-01,4.239852726459503174e-02,4.191054999828338623e-01,-8.038698434829711914e-01,-2.070697695016860962e-01,1.637705564498901367e-01,3.565380573272705078e-01,-9.098641872406005859e-01,-2.401312589645385742e-01,-4.869943857192993164e-01,9.591256976127624512e-01,5.650287270545959473e-01,-6.419103145599365234e-01,-3.298071920871734619e-01,4.448002278804779053e-01,3.925721347332000732e-01,9.929419308900833130e-02,-2.312411516904830933e-01,9.132469892501831055e-01,-2.614505589008331299e-01,-7.282160222530364990e-02,-2.450726628303527832e-01,-9.736523628234863281e-01,2.227767407894134521e-01,8.793761134147644043e-01,6.319258213043212891e-01,6.017165631055831909e-02,-3.358581364154815674e-01,-9.108139872550964355e-01,5.825329571962356567e-02,-1.973933428525924683e-01,1.115298873628489673e-04,-2.924148738384246826e-01,-3.496108353137969971e-01,6.279473900794982910e-01,-3.829693794250488281e-01,-8.863673806190490723e-01,1.853618323802947998e-01,5.474984645843505859e-01,9.706933498382568359e-01,6.169534921646118164e-01,7.339607477188110352e-01,-6.011069416999816895e-01,9.857059121131896973e-01
-5.757188200950622559e-01,5.256161689758300781e-01,-4.157584905624389648e-01,5.673505067825317383e-01,-3.157835900783538818e-01,-5.354679226875305176e-01,9.891247153282165527e-01,-2.202602326869964600e-01,-1.154933497309684753e-01,-8.480894565582275391e-01,4.410234391689300537e-01,2.077588438987731934e-02,3.983809947967529297e-01,-9.523000121116638184e-01,-3.975192904472351074e-01,-8.121319413185119629e-01,1.577358096837997437e-01,-4.447824954986572266e-01,-6.699083447456359863e-01,-3.587938249111175537e-01,1.343875527381896973e-01,6.087096929550170898e-01,-9.836726784706115723e-01,-7.018322348594665527e-01,-6.625980138778686523e-01,-3.803974092006683350e-01,2.360597848892211914e-01,-9.347586631774902344e-01,8.351165056228637695e-01,-4.763441979885101318e-01,9.783558845520019531e-01,5.426803231239318848e-01,1.301056146621704102e-01,6.223518848419189453e-01,-6.815435886383056641e-01,8.776658177375793457e-01,-1.703854352235794067e-01,6.132512092590332031e-01,-1.009534820914268494e-01,-2.511034719645977020e-03,1.820493787527084351e-01,8.808608651161193848e-01,5.948885679244995117e-01,-5.669577717781066895e-01,-9.960044622421264648e-01,-5.410363674163818359e-01,8.286092281341552734e-01,-7.121882587671279907e-02,9.803879261016845703e-02,-6.670323610305786133e-01,3.223417792469263077e-03,-8.809792995452880859e-02,4.659788012504577637e-01,6.785046458244323730e-01,-7.668858766555786133e-01,5.240753293037414551e-01,-6.587260961532592773e-02,6.487266421318054199e-01,2.243459969758987427e-01,9.479147195816040039e-01,9.550649672746658325e-02,-1.353189200162887573e-01,-6.017208695411682129e-01,3.471056222915649414e-01,5.898391604423522949e-01,-1.671827584505081177e-01,9.956800192594528198e-02,2.407900393009185791e-01,-9.823954105377197266e-01,7.399840950965881348e-01,-8.708077669143676758e-01,-8.164854049682617188e-01,-9.682666659355163574e-01,-8.007401823997497559e-01,-4.633560180664062500e-01,1.329444944858551025e-01,6.940743327140808105e-01,-9.557178616523742676e-01,9.550327062606811523e-01,3.738702535629272461e-01,1.213450822979211807e-02,-6.346067786216735840e-01,-1.442561000585556030e-01,6.756847351789474487e-02,4.194451570510864258e-01,-9.620082378387451172e-01,5.450001955032348633e-01,-8.803675323724746704e-02,-2.515932917594909668e-01,-9.899356365203857422e-01,-6.961455345153808594e-01,4.863419234752655029e-01,-2.211188226938247681e-01,9.695817232131958008e-01,-6.476620435714721680e-01,-6.194599866867065430e-01,9.394965767860412598e-01,-1.508288383483886719e-01,1.110164895653724670e-01,5.469241142272949219e-01
8.074209094047546387e-01,2.185746133327484131e-01,5.473518371582031250e-01,1.752638965845108032e-01,7.472664117813110352e-01,-7.055443525314331055e-01,-3.811098933219909668e-01,-9.177023172378540039e-01,2.490522861480712891e-01,-3.971700742840766907e-02,7.890006303787231445e-01,-1.424003392457962036e-01,5.178789496421813965e-01,1.046867743134498596e-01,-2.307924479246139526e-01,6.264541149139404297e-01,7.199562191963195801e-01,5.518894791603088379e-01,-2.416687458753585815e-01,6.672034263610839844e-01,-8.581062555313110352e-01,4.782007038593292236e-01,3.353450596332550049e-01,3.253497779369354248e-01,5.888302922248840332e-01,-8.842529058456420898e-01,1.025322526693344116e-01,-5.734062939882278442e-02,4.405025541782379150e-01,2.838119864463806152e-03,-1.590793281793594360e-01,-7.739511132240295410e-01,-2.679637670516967773e-01,-9.227930009365081787e-02,-8.225435614585876465e-01,-9.632995128631591797e-01,-7.567535042762756348e-01,-1.248561069369316101e-01,-4.422483444213867188e-01,-3.257903754711151123e-01,2.031618729233741760e-02,-4.183903634548187256e-01,-1.733670011162757874e-02,4.900349676609039307e-01,-2.152453213930130005e-01,7.518917918205261230e-01,-5.723186731338500977e-01,3.774047493934631348e-01,1.448162943124771118e-01,1.646387428045272827e-01,-3.028426170349121094e-01,3.193478286266326904e-01,6.213827133178710938e-01,2.490215152502059937e-01,-7.269545197486877441e-01,-9.716308116912841797e-01,-4.377517104148864746e-01,2.461567521095275879e-01,2.500073909759521484e-01,9.068239927291870117e-01,-7.641033530235290527e-01,8.866429924964904785e-01,8.263759613037109375e-01,-2.788734138011932373e-01,-4.340961277484893799e-01,4.954527318477630615e-01,-8.697012662887573242e-01,-4.917445182800292969e-01,2.793287634849548340e-01,3.026485443115234375e-01,4.366252124309539795e-01,-1.311156153678894043e-01,6.282497644424438477e-01,-5.978859663009643555e-01,8.559846878051757812e-01,-6.986972093582153320e-01,1.046170517802238464e-01,6.344190984964370728e-02,-4.311393201351165771e-02,-5.816321372985839844e-01,-5.414127707481384277e-01,-3.855771124362945557e-01,6.962267756462097168e-01,2.358028292655944824e-01,-8.523207306861877441e-01,1.345315128564834595e-01,9.948152899742126465e-01,8.030015826225280762e-01,-3.486926257610321045e-01,-9.607943892478942871e-01,-9.701381921768188477e-01,2.670575082302093506e-01,5.039063096046447754e-01,-6.289246678352355957e-01,3.128904998302459717e-01,-2.790068686008453369e-01,-8.862689733505249023e-01,6.360281109809875488e-01,5.750496387481689453e-01,3.216421902179718018e-01
8.637280464172363281e-01,-3.204236328601837158e-01,-1.005021780729293823e-01,2.090539187192916870e-01,6.537404656410217285e-01,-9.992900490760803223e-01,5.044095516204833984e-01,6.041422486305236816e-01,-5.445378422737121582e-01,-5.579321384429931641e-01,1.324003487825393677e-01,-1.071308031678199768e-01,2.288896143436431885e-01,-1.289292871952056885e-01,8.599892854690551758e-01,5.094972848892211914e-01,-7.335916161537170410e-01,-7.990568280220031738e-01,-3.458404541015625000e-01,5.523762106895446777e-01,1.816274523735046387e-01,8.292334079742431641e-01,1.718402802944183350e-01,-6.138985157012939453e-01,-5.555699467658996582e-01,2.672712206840515137e-01,-5.786997079849243164e-01,1.608407646417617798e-01,8.705961704254150391e-02,7.613695263862609863e-01,-8.430116176605224609e-01,-9.916949272155761719e-01,-1.458403319120407104e-01,-1.646178364753723145e-01,-1.788177192211151123e-01,8.163642287254333496e-01,7.376779913902282715e-01,-6.115276813507080078e-01,-4.591584205627441406e-01,9.278773665428161621e-01,7.525023221969604492e-01,3.314211666584014893e-01,8.587511181831359863e-01,-3.305825293064117432e-01,-5.332025289535522461e-01,2.173814177513122559e-01,3.287163376808166504e-01,-5.628757476806640625e-01,2.105068862438201904e-01,4.489512145519256592e-01,-5.650196671485900879e-01,9.507981538772583008e-01,-2.750457227230072021e-01,9.424220323562622070e-01,1.317968219518661499e-01,-8.745014071464538574e-01,-7.256674170494079590e-01,7.458512783050537109e-01,-1.492494046688079834e-01,4.926908016204833984e-01,-4.702906608581542969e-01,9.082837104797363281e-01,7.073804140090942383e-01,-7.297195196151733398e-01,-6.511417627334594727e-01,-5.449212193489074707e-01,-7.171391695737838745e-02,4.690583944320678711e-01,-6.181870102882385254e-01,-3.483560383319854736e-01,4.836412072181701660e-01,-2.023470699787139893e-01,-1.194454729557037354e-02,-8.763462901115417480e-01,-9.221469610929489136e-02,3.126055896282196045e-01,9.065812826156616211e-01,2.792935967445373535e-01,-6.917054057121276855e-01,-7.533408403396606445e-01,-3.946725726127624512e-01,8.374356627464294434e-01,-7.843713164329528809e-01,-8.964605331420898438e-01,-4.282539188861846924e-01,3.388281762599945068e-01,-5.190787315368652344e-01,3.308943808078765869e-01,5.214863419532775879e-01,-8.862071037292480469e-01,-5.446975231170654297e-01,5.305819511413574219e-01,4.844846129417419434e-01,4.664391875267028809e-01,4.855843484401702881e-01,8.643545508384704590e-01,3.943164944648742676e-01,3.474914655089378357e-02,-8.008941411972045898e-01,1.852636486291885376e-01
8.480873703956604004e-01,6.737958788871765137e-01,-6.295013427734375000e-01,7.082340121269226074e-01,8.725070953369140625e-01,-2.659062743186950684e-01,1.902696937322616577e-01,7.892161607742309570e-01,9.896992444992065430e-01,-6.821995228528976440e-02,-7.328453063964843750e-01,-5.826866626739501953e-01,-7.323827594518661499e-02,-8.607873916625976562e-01,9.102569818496704102e-01,-4.997621774673461914e-01,-2.946496605873107910e-01,-1.995055675506591797e-01,3.871792852878570557e-01,-7.950938940048217773e-01,1.024370044469833374e-01,-5.683199167251586914e-01,3.672754168510437012e-01,4.058858007192611694e-02,-7.538878321647644043e-01,-4.406916201114654541e-01,-2.277720123529434204e-01,7.769986987113952637e-02,-5.431393384933471680e-01,-1.091134622693061829e-01,-5.823781490325927734e-01,7.074521183967590332e-01,-2.269753217697143555e-01,-4.745514094829559326e-01,-5.565137267112731934e-01,7.601267099380493164e-01,5.264611244201660156e-01,9.675406813621520996e-01,-6.689691543579101562e-01,5.894311666488647461e-01,1.550854742527008057e-01,-7.872584462165832520e-01,3.707186281681060791e-01,9.316897988319396973e-01,1.584096252918243408e-01,2.474493347108364105e-02,-3.614507317543029785e-01,-5.151404812932014465e-02,-5.149373412132263184e-01,-9.689424037933349609e-01,8.412822484970092773e-01,-9.251073002815246582e-01,-2.091201245784759521e-01,1.481248736381530762e-01,-7.798671722412109375e-01,-2.446516603231430054e-01,2.668942213058471680e-01,3.626232445240020752e-01,-4.579578936100006104e-01,-4.865867793560028076e-01,7.678884863853454590e-01,2.992912530899047852e-01,-8.291050195693969727e-01,-6.718948483467102051e-01,6.599689126014709473e-01,-4.088057279586791992e-01,4.224229454994201660e-01,-9.515078663825988770e-01,7.284501791000366211e-01,-1.211394816637039185e-01,1.382558643817901611e-01,-4.384532272815704346e-01,-2.644823193550109863e-01,-9.460431933403015137e-01,1.738227307796478271e-01,-6.543089151382446289e-01,8.671198040246963501e-03,-4.888583123683929443e-01,3.582653701305389404e-01,7.354832291603088379e-01,-4.150100946426391602e-01,7.110031843185424805e-01,6.515756845474243164e-01,3.580575576052069664e-03,-1.778782159090042114e-01,-3.182177543640136719e-01,-8.496493697166442871e-01,-9.299484491348266602e-01,-7.530286908149719238e-02,-7.717190980911254883e-01,-5.034633278846740723e-01,-6.397517919540405273e-01,-9.108445607125759125e-03,-4.971141815185546875e-01,-5.502252578735351562e-01,-8.374249935150146484e-01,-1.068053320050239563e-01,-1.285975724458694458e-01,8.792931437492370605e-01,6.459217071533203125e-01
-8.546529412269592285e-01,-4.861077070236206055e-01,-3.531168699264526367e-01,2.221999503672122955e-02,-2.106867730617523193e-01,3.360165357589721680e-01,-1.940854638814926147e-01,9.427259564399719238e-01,-7.716739773750305176e-01,-8.791817426681518555e-01,-1.883575022220611572e-01,-2.597041130065917969e-01,-7.518848776817321777e-01,-2.066477835178375244e-01,1.056235376745462418e-02,5.846484303474426270e-01,5.797474831342697144e-02,-9.783940911293029785e-01,8.897552490234375000e-01,-1.665276885032653809e-01,-3.122304081916809082e-01,5.692892707884311676e-03,-9.231219291687011719e-01,2.818477749824523926e-01,-8.817639946937561035e-01,6.748645752668380737e-02,4.024137258529663086e-01,-9.721775650978088379e-01,5.962319374084472656e-01,-5.196521282196044922e-01,8.013287186622619629e-01,-1.109905317425727844e-01,6.731066703796386719e-01,-4.640844464302062988e-02,-5.947667956352233887e-01,6.985395550727844238e-01,5.995083451271057129e-01,-3.942392393946647644e-02,5.282336473464965820e-01,7.661764621734619141e-01,-2.212688028812408447e-01,-4.201210439205169678e-01,-1.956291794776916504e-01,-2.371821254491806030e-01,7.086029648780822754e-01,-6.358762085437774658e-02,9.658963680267333984e-01,9.216074347496032715e-01,5.748201012611389160e-01,7.989073395729064941e-01,8.834207803010940552e-02,6.403629183769226074e-01,-8.939953446388244629e-01,5.715566277503967285e-01,-5.043584704399108887e-01,-6.898151040077209473e-01,-2.058599144220352173e-01,-4.869364202022552490e-01,8.003228902816772461e-01,7.827908992767333984e-01,-5.854918360710144043e-01,-9.482702612876892090e-01,4.022838473320007324e-01,9.772635698318481445e-01,-8.814147114753723145e-02,-3.334618359804153442e-02,3.100339770317077637e-01,1.906099617481231689e-01,-4.853864759206771851e-02,-6.818383336067199707e-01,-5.332341790199279785e-01,-9.536118507385253906e-01,1.756594628095626831e-01,-8.764559775590896606e-02,9.234295785427093506e-02,3.931401073932647705e-01,-8.995941281318664551e-01,1.363997161388397217e-01,-2.538309097290039062e-01,-5.490143895149230957e-01,-7.269512414932250977e-01,5.272457003593444824e-01,7.684233188629150391e-01,9.426778554916381836e-02,5.249859094619750977e-01,4.595577418804168701e-01,-7.057720422744750977e-01,-8.972449302673339844e-01,2.543899118900299072e-01,6.191678047180175781e-01,-8.728503584861755371e-01,8.604255318641662598e-01,6.279121637344360352e-01,-3.822673857212066650e-01,-3.951362669467926025e-01,1.472486704587936401e-01,5.017946362495422363e-01,-9.397020936012268066e-01,-8.565070033073425293e-01,-9.221302270889282227e-01
9.593333601951599121e-01,6.078849434852600098e-01,9.066148996353149414e-01,5.447713136672973633e-01,4.347982406616210938e-01,4.112624526023864746e-01,7.394164204597473145e-01,6.977631449699401855e-01,6.095072031021118164e-01,-2.047539055347442627e-01,3.322560787200927734e-01,-4.983908534049987793e-01,9.705329537391662598e-01,2.409885525703430176e-01,-9.420568943023681641e-01,3.643146455287933350e-01,-4.685095548629760742e-01,-1.960241496562957764e-01,-6.876187920570373535e-01,-2.634219527244567871e-01,4.021323025226593018e-01,-1.164028048515319824e-01,-6.119509935379028320e-01,8.097166419029235840e-01,-5.397432446479797363e-01,-5.693916678428649902e-01,-7.044844031333923340e-01,7.081172466278076172e-01,7.283324599266052246e-01,-1.459216028451919556e-01,1.913724690675735474e-01,7.023502588272094727e-01,-5.762993097305297852e-01,7.920676469802856445e-01,5.829109549522399902e-01,7.226187586784362793e-01,-4.634854495525360107e-01,-8.843938112258911133e-01,-5.488383173942565918e-01,-7.928472757339477539e-01,-4.584403634071350098e-01,-8.934530019760131836e-01,4.039479196071624756e-01,9.186040163040161133e-01,3.793565332889556885e-01,8.671215772628784180e-01,-4.251214861869812012e-01,3.851934373378753662e-01,-6.649218797683715820e-01,4.584731161594390869e-01,1.217850670218467712e-01,-6.569305062294006348e-01,8.713228702545166016e-01,-9.799667000770568848e-01,-9.620842337608337402e-01,2.721274197101593018e-01,-7.096210122108459473e-01,2.113558948040008545e-01,6.393581032752990723e-01,-4.700453579425811768e-01,-4.789430201053619385e-01,6.748538017272949219e-01,8.369991779327392578e-01,5.158566683530807495e-02,-8.081612586975097656e-01,2.303144335746765137e-01,-3.989952802658081055e-01,-2.460219711065292358e-01,6.212010979652404785e-01,5.553022623062133789e-01,9.657259285449981689e-02,2.856966853141784668e-01,-6.147317290306091309e-01,1.052874326705932617e-01,1.335181593894958496e-01,4.721487164497375488e-01,5.469849109649658203e-01,9.581620246171951294e-02,-9.251590967178344727e-01,-5.135634541511535645e-01,-7.761715650558471680e-01,-3.220281004905700684e-01,7.748724818229675293e-01,2.006656676530838013e-01,1.144146993756294250e-01,8.410906195640563965e-01,-9.100217819213867188e-01,8.104990124702453613e-01,-1.644342392683029175e-01,-3.183110356330871582e-01,8.189098238945007324e-01,-6.061373278498649597e-02,5.891531109809875488e-01,-4.346601963043212891e-01,-1.089377030730247498e-01,-8.249046206474304199e-01,-8.358943462371826172e-01,4.320486187934875488e-01,-8.632084131240844727e-01,4.849623739719390869e-01
9.610187411308288574e-01,4.041017591953277588e-01,3.997747302055358887e-01,-1.883208900690078735e-01,-5.188302397727966309e-01,-9.309421777725219727e-01,-1.811961829662322998e-01,-8.990632891654968262e-01,2.715611085295677185e-02,2.996881902217864990e-01,-1.046669557690620422e-01,-4.579898416996002197e-01,-7.153820991516113281e-01,7.465805411338806152e-01,6.623293161392211914e-01,2.280268520116806030e-01,-7.108081579208374023e-01,5.635052323341369629e-01,4.335640668869018555e-01,-8.002055287361145020e-01,8.866943717002868652e-01,1.660047471523284912e-01,6.687641143798828125e-01,9.626662731170654297e-01,-2.123255580663681030e-01,-7.370584011077880859e-01,3.639717698097229004e-01,4.806619584560394287e-01,7.064934372901916504e-01,8.113741278648376465e-01,6.359376311302185059e-01,-9.362177252769470215e-01,-4.925684332847595215e-01,-3.756425976753234863e-01,7.228103280067443848e-01,7.315509915351867676e-01,-7.216215133666992188e-01,-3.060078620910644531e-01,-4.227897822856903076e-01,-7.644021511077880859e-01,9.927141666412353516e-02,-5.118282437324523926e-01,2.639651894569396973e-01,-2.786124348640441895e-01,-6.082037687301635742e-01,1.961240023374557495e-01,9.291629791259765625e-01,-5.322968363761901855e-01,-1.066978126764297485e-01,-9.431546926498413086e-01,3.103166222572326660e-01,-3.898138701915740967e-01,-4.962736964225769043e-01,-5.766434073448181152e-01,1.931502819061279297e-01,-9.300996661186218262e-01,1.965593313798308372e-03,3.978185653686523438e-01,-3.686273694038391113e-01,-4.698316752910614014e-01,2.888331413269042969e-01,2.774730920791625977e-01,-3.078163564205169678e-01,3.366608917713165283e-01,-2.524806857109069824e-01,8.971994519233703613e-01,-3.520731925964355469e-01,9.073990583419799805e-01,-7.887534499168395996e-01,1.284856908023357391e-02,1.010727435350418091e-01,-7.698284387588500977e-01,2.049498707056045532e-01,2.109395414590835571e-01,-8.970916271209716797e-03,9.834113121032714844e-01,7.569427490234375000e-01,5.601712465286254883e-01,-2.544250786304473877e-01,5.113890767097473145e-01,-3.473019227385520935e-02,8.452541232109069824e-01,1.190185733139514923e-02,-4.248244166374206543e-01,-4.090509116649627686e-01,7.726477980613708496e-01,8.433088064193725586e-01,-7.931091785430908203e-01,5.618231296539306641e-01,1.146514713764190674e-01,-5.983323454856872559e-01,1.877684444189071655e-01,7.920333147048950195e-01,5.258178114891052246e-01,6.551554799079895020e-01,-6.304994225502014160e-01,-4.677242338657379150e-01,-7.339700460433959961e-01,6.258668303489685059e-01,-7.808110117912292480e-01
-1.768566220998764038e-01,-7.024113535881042480e-01,4.989171922206878662e-01,-6.624783277511596680e-01,6.769118309020996094e-01,-9.638165235519409180e-01,4.559729397296905518e-01,2.688368856906890869e-01,1.973569691181182861e-01,-2.309147864580154419e-01,9.324715733528137207e-01,5.746854543685913086e-01,-7.990410327911376953e-01,2.878662049770355225e-01,1.632138639688491821e-01,1.241321265697479248e-01,-3.947359621524810791e-01,9.387303590774536133e-01,-6.691773980855941772e-02,5.529829263687133789e-01,-4.795635938644409180e-01,7.269269227981567383e-01,6.557980179786682129e-01,-3.658813834190368652e-01,3.372868523001670837e-02,-6.616266369819641113e-01,-9.448273777961730957e-01,6.672360748052597046e-02,-2.787350714206695557e-01,-7.609272599220275879e-01,-2.367626279592514038e-01,6.961617469787597656e-01,6.763719320297241211e-01,-3.812280893325805664e-01,3.817501664161682129e-01,7.270535081624984741e-02,7.136300206184387207e-01,5.247133970260620117e-01,5.359799861907958984e-01,-5.891522020101547241e-02,-9.697015881538391113e-01,-8.039623498916625977e-02,8.174424767494201660e-01,-3.878619074821472168e-01,-6.182379722595214844e-01,5.749453306198120117e-01,-5.256232619285583496e-01,8.254908323287963867e-01,-8.304177522659301758e-01,9.823721051216125488e-01,8.321640491485595703e-01,-8.987819552421569824e-01,-8.322681486606597900e-02,2.135494798421859741e-01,-2.111987173557281494e-01,-5.450789928436279297e-01,6.500796675682067871e-01,8.661454319953918457e-01,-8.206919431686401367e-01,7.091993689537048340e-01,4.437570273876190186e-01,4.298497736454010010e-01,-3.524993956089019775e-01,2.222221046686172485e-01,-4.091584682464599609e-01,-1.715894639492034912e-01,3.861325085163116455e-01,2.021179795265197754e-01,6.012577414512634277e-01,4.859024882316589355e-01,-4.928247332572937012e-01,-6.968473196029663086e-01,-9.182576537132263184e-01,4.585168063640594482e-01,2.131076008081436157e-01,8.716988563537597656e-02,1.084849536418914795e-01,9.228359460830688477e-01,7.720715403556823730e-01,-7.356606721878051758e-01,3.984333276748657227e-01,7.491403818130493164e-02,3.649668395519256592e-01,-5.131416320800781250e-01,1.978610306978225708e-01,-3.358716890215873718e-02,-5.279551148414611816e-01,-3.333121240139007568e-01,-1.115235760807991028e-01,-4.824971258640289307e-01,-7.287733554840087891e-01,-8.739355802536010742e-01,9.691967964172363281e-01,7.021211981773376465e-01,2.005268186330795288e-01,2.472719252109527588e-01,7.341383695602416992e-01,7.121754884719848633e-01,3.600133657455444336e-01,7.886367440223693848e-01
-3.949478566646575928e-01,-4.056250751018524170e-01,-3.533271551132202148e-01,-1.182931289076805115e-01,-7.895643711090087891e-01,-3.600122928619384766e-01,-1.062282826751470566e-02,4.730235636234283447e-01,-3.900747299194335938e-01,6.433439254760742188e-01,-4.960516691207885742e-01,9.828612208366394043e-01,3.420378863811492920e-01,5.531305819749832153e-02,4.014949779957532883e-03,7.303007841110229492e-01,-7.076950371265411377e-02,-6.577955484390258789e-01,-6.207134127616882324e-01,5.467273592948913574e-01,-9.152436852455139160e-01,6.469268202781677246e-01,-4.059830904006958008e-01,-9.265738129615783691e-01,-5.799390375614166260e-02,-8.062959909439086914e-01,-2.709774374961853027e-01,1.885533332824707031e-01,-9.042512774467468262e-01,9.632384777069091797e-02,4.307864233851432800e-02,2.556589245796203613e-01,-3.474406525492668152e-02,-9.552140235900878906e-01,3.059434294700622559e-01,-6.951298564672470093e-02,-1.886685192584991455e-02,-7.310623526573181152e-01,2.592510282993316650e-01,-4.087928533554077148e-01,-5.243791341781616211e-01,-6.691305041313171387e-01,-5.349563360214233398e-01,-6.605166196823120117e-02,9.704337120056152344e-01,-4.951747059822082520e-01,5.842606425285339355e-01,-3.143504559993743896e-01,3.228932917118072510e-01,-1.038233633153140545e-03,-2.031214237213134766e-01,-9.353042840957641602e-01,1.240644380450248718e-01,-7.531636357307434082e-01,4.477407634258270264e-01,-9.734120965003967285e-02,1.002288423478603363e-02,-1.716015674173831940e-02,5.885621532797813416e-02,-9.264753460884094238e-01,-3.573990762233734131e-01,9.611141681671142578e-01,-4.242728948593139648e-01,-3.378970921039581299e-01,-3.126240968704223633e-01,-3.087954819202423096e-01,2.752304077148437500e-01,-9.381771087646484375e-03,-2.814050018787384033e-01,6.824454069137573242e-01,7.721546292304992676e-01,1.282183676958084106e-01,7.856538891792297363e-01,7.201867699623107910e-01,-8.174020648002624512e-01,9.496169686317443848e-01,-3.105195760726928711e-01,-3.673191368579864502e-01,-1.448874622583389282e-01,-5.483315587043762207e-01,-6.640513539314270020e-01,9.652548432350158691e-01,-7.733021378517150879e-01,3.737506866455078125e-01,-2.472794353961944580e-01,-1.490169018507003784e-01,-9.455984830856323242e-02,-7.195398211479187012e-01,5.250151753425598145e-01,9.805229902267456055e-01,4.572802186012268066e-01,-7.666879892349243164e-01,7.434539198875427246e-01,-5.378832817077636719e-01,8.125241845846176147e-02,-7.640656828880310059e-01,6.142038702964782715e-01,-8.267208933830261230e-01,-8.122987300157546997e-02,8.185624480247497559e-01
