level_equivalent_diameter,level_major_axis_length,level_minor_axis_length,level_solidity,nodes,distmap-skew,distmap-kurt
7.908319854736328125e+01,8.955322265625000000e+01,8.327513885498046875e+01,7.633255720138549805e-01,2.400000000000000000e+01,7.433712482452392578e-01,-1.480009257793426514e-01
6.242905044555664062e+01,8.953503417968750000e+01,7.356649780273437500e+01,5.388135910034179688e-01,3.200000000000000000e+01,1.239222407341003418e+00,1.272045135498046875e+00
6.373094940185546875e+01,9.631684112548828125e+01,6.539323425292968750e+01,6.274586915969848633e-01,4.300000000000000000e+01,1.061235547065734863e+00,9.639821648597717285e-01
6.921849822998046875e+01,9.156858062744140625e+01,7.174022674560546875e+01,6.166830658912658691e-01,4.400000000000000000e+01,9.471175670623779297e-01,2.721817791461944580e-01
4.836259841918945312e+01,8.776477050781250000e+01,3.858579635620117188e+01,6.363006830215454102e-01,1.200000000000000000e+01,7.897891402244567871e-01,-2.549717426300048828e-01
2.290359497070312500e+01,3.279019165039062500e+01,2.100592422485351562e+01,6.798679828643798828e-01,2.000000000000000000e+00,6.246564388275146484e-01,-6.631352901458740234e-01
7.523844146728515625e+01,1.182353515625000000e+02,6.480401611328125000e+01,5.673089027404785156e-01,4.800000000000000000e+01,9.400901198387145996e-01,2.277162522077560425e-01
4.130545806884765625e+01,4.894616317749023438e+01,3.969803237915039062e+01,7.896287441253662109e-01,1.700000000000000000e+01,1.052321195602416992e+00,5.417597889900207520e-01
7.393251800537109375e+01,1.060493011474609375e+02,7.273092651367187500e+01,6.228057742118835449e-01,2.100000000000000000e+01,8.675144910812377930e-01,3.800528869032859802e-02
6.337031936645507812e+01,8.111048889160156250e+01,6.050081253051757812e+01,7.001109719276428223e-01,2.200000000000000000e+01,1.021551251411437988e+00,3.328061699867248535e-01
6.491858673095703125e+01,7.625401306152343750e+01,6.978849792480468750e+01,6.777231693267822266e-01,3.900000000000000000e+01,9.941215515136718750e-01,4.158976376056671143e-01
6.904352569580078125e+01,1.028172760009765625e+02,7.690504455566406250e+01,5.254737138748168945e-01,3.300000000000000000e+01,7.816241979598999023e-01,-1.216017603874206543e-01
8.424391174316406250e+01,1.120710296630859375e+02,8.759828186035156250e+01,6.771137118339538574e-01,4.400000000000000000e+01,9.363253712654113770e-01,2.829565107822418213e-01
1.012779235839843750e+02,1.229002990722656250e+02,1.064107131958007812e+02,7.419414520263671875e-01,5.900000000000000000e+01,1.368125438690185547e+00,1.717617034912109375e+00
2.903247451782226562e+01,3.589632797241210938e+01,2.518409538269042969e+01,7.583047151565551758e-01,4.000000000000000000e+00,7.625997066497802734e-01,-3.829101622104644775e-01
9.616412353515625000e+01,1.153444213867187500e+02,1.033218307495117188e+02,7.453052997589111328e-01,3.400000000000000000e+01,8.201942443847656250e-01,4.413929767906665802e-03
7.382049560546875000e+01,1.070954284667968750e+02,9.267174530029296875e+01,5.439064502716064453e-01,3.000000000000000000e+01,1.054116845130920410e+00,5.585244894027709961e-01
4.119742965698242188e+01,4.647129821777343750e+01,3.918915557861328125e+01,8.616677522659301758e-01,4.000000000000000000e+00,5.824743509292602539e-01,-7.088361978530883789e-01
4.170425796508789062e+01,6.011603546142578125e+01,4.795319366455078125e+01,5.713090896606445312e-01,2.900000000000000000e+01,1.393394589424133301e+00,1.988318324089050293e+00
6.448565673828125000e+01,7.978827667236328125e+01,6.522474670410156250e+01,7.483959794044494629e-01,3.700000000000000000e+01,1.101076602935791016e+00,7.623600959777832031e-01
9.744650268554687500e+01,1.146119918823242188e+02,8.741822052001953125e+01,8.711599111557006836e-01,1.000000000000000000e+01,7.052776217460632324e-01,-3.239225745201110840e-01
9.116158294677734375e+01,1.001540069580078125e+02,9.614276885986328125e+01,7.185160517692565918e-01,5.800000000000000000e+01,1.533822536468505859e+00,2.366665363311767578e+00
9.966852569580078125e+01,1.151396713256835938e+02,1.036287612915039062e+02,7.557148337364196777e-01,8.700000000000000000e+01,1.014683604240417480e+00,6.375949978828430176e-01
