z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99
5.939155817031860352e-01,-2.420749664306640625e-01,8.923546671867370605e-01,9.501991271972656250e-01,-1.434648036956787109e-01,7.541321516036987305e-01,-5.356716513633728027e-01,3.471476733684539795e-01,4.009360074996948242e-02,8.567398786544799805e-01,7.120090126991271973e-01,6.301283836364746094e-01,3.119782209396362305e-01,4.483655691146850586e-01,5.381130576133728027e-01,-8.401523828506469727e-01,6.780999153852462769e-02,-3.830456733703613281e-01,-9.796293377876281738e-01,8.546259999275207520e-01,8.615071326494216919e-02,-8.899725079536437988e-01,9.037110805511474609e-01,-2.220837622880935669e-01,-1.040683984756469727e-01,4.392802119255065918e-01,-6.996143460273742676e-01,4.155908226966857910e-01,-9.053118824958801270e-01,-8.117260336875915527e-01,2.531943321228027344e-01,-7.358830571174621582e-01,-7.142192721366882324e-01,-1.849338114261627197e-01,3.379081189632415771e-01,2.928140461444854736e-01,-6.797320842742919922e-01,-9.978762865066528320e-01,-3.150569498538970947e-01,6.551802158355712891e-01,-6.374393701553344727e-01,7.068445086479187012e-01,-5.487178564071655273e-01,-8.759919404983520508e-01,-4.194768071174621582e-01,-7.509476542472839355e-01,4.565742015838623047e-01,-9.224543571472167969e-01,-1.335951536893844604e-01,3.117480278015136719e-01,3.130112290382385254e-01,9.031736254692077637e-01,-2.028293013572692871e-01,-8.392789363861083984e-01,7.006432414054870605e-01,-4.627262800931930542e-02,5.677593946456909180e-01,-8.854598402976989746e-01,5.055313110351562500e-01,1.524834483861923218e-01,3.490110635757446289e-01,4.988518655300140381e-01,-9.983829855918884277e-01,3.116506040096282959e-01,-3.858926296234130859e-01,5.600068345665931702e-02,9.956907629966735840e-01,-4.983647540211677551e-02,5.704810023307800293e-01,-5.202553272247314453e-01,-9.300802946090698242e-01,-5.028805136680603027e-01,1.131637319922447205e-01,1.793765872716903687e-01,2.920924723148345947e-01,7.395051121711730957e-01,-9.487159252166748047e-01,2.848010659217834473e-01,9.466590285301208496e-01,7.732226252555847168e-01,-1.465063542127609253e-01,7.168843150138854980e-01,8.603442460298538208e-02,-9.115118980407714844e-01,-6.401491761207580566e-01,-2.826424539089202881e-01,6.886346638202667236e-02,-1.419530622661113739e-02,7.691215276718139648e-01,1.260276734828948975e-01,4.130227565765380859e-01,8.739196062088012695e-01,-8.774548172950744629e-01,8.866820931434631348e-01,-3.632635772228240967e-01,-3.920421302318572998e-01,-6.342746615409851074e-01,-1.658306419849395752e-01,6.637266874313354492e-01,-5.136206746101379395e-01
8.049493432044982910e-01,8.301687836647033691e-01,7.018483281135559082e-01,-4.825407564640045166e-01,-9.443752765655517578e-01,-8.391171693801879883e-01,6.328068375587463379e-01,1.275924891233444214e-01,1.283881217241287231e-01,1.859555989503860474e-01,5.572224259376525879e-01,1.456449180841445923e-01,6.412445902824401855e-01,-8.948936313390731812e-02,8.584476113319396973e-01,2.390054762363433838e-01,1.242845579981803894e-01,-1.298910975456237793e-01,7.001236677169799805e-01,-8.123655319213867188e-01,-7.093808054924011230e-01,2.699068486690521240e-01,7.975257039070129395e-01,4.195943847298622131e-02,2.827354371547698975e-01,-3.591018319129943848e-01,1.458690315485000610e-01,8.428195714950561523e-01,-5.945780873298645020e-01,-4.956389665603637695e-01,-5.697413086891174316e-01,-6.701543927192687988e-01,-1.758156567811965942e-01,2.878582179546356201e-01,1.631046533584594727e-01,7.416402101516723633e-01,-7.935112714767456055e-01,-7.176565527915954590e-01,-5.784237384796142578e-01,4.355935454368591309e-01,3.477810621261596680e-01,-9.185259938240051270e-01,-1.499870866537094116e-01,-8.235220909118652344e-01,7.639298439025878906e-01,7.915316820144653320e-01,-3.903346955776214600e-01,6.178209781646728516e-01,1.911678612232208252e-01,-1.059688627719879150e-01,-9.244664907455444336e-01,2.407294958829879761e-01,-5.795807838439941406e-01,-7.532303929328918457e-01,-8.972187638282775879e-01,3.117366433143615723e-01,5.830990672111511230e-01,3.403840363025665283e-01,5.825892090797424316e-01,9.107781052589416504e-01,6.472810637205839157e-03,7.718164920806884766e-01,-1.310482472181320190e-01,-2.700273990631103516e-01,-4.649378657341003418e-01,-5.187017917633056641e-01,-3.071189224720001221e-01,2.067741006612777710e-01,6.611158847808837891e-01,8.936738371849060059e-01,-8.253713250160217285e-01,-4.776234328746795654e-01,-9.638714790344238281e-01,-3.722994774580001831e-02,1.005919873714447021e-01,-1.527929306030273438e-01,7.092513144016265869e-02,-9.676710963249206543e-01,4.676347374916076660e-01,-2.085411548614501953e-01,-8.883506655693054199e-01,-9.219531416893005371e-01,-7.446590662002563477e-01,8.122221827507019043e-01,2.119123488664627075e-01,6.863477230072021484e-01,-9.837548136711120605e-01,-6.781367659568786621e-01,-9.084760546684265137e-01,6.386318206787109375e-01,-5.109543800354003906e-01,6.951862573623657227e-01,2.542873620986938477e-01,-3.929452002048492432e-01,1.236398220062255859e-01,1.803741008043289185e-01,7.851971387863159180e-01,-1.823493689298629761e-01,-9.842499494552612305e-01,3.225786089897155762e-01
-7.959864139556884766e-01,8.605468869209289551e-01,8.542497158050537109e-01,-1.713531166315078735e-01,-9.443213045597076416e-02,2.173540294170379639e-01,9.780343174934387207e-01,5.297271609306335449e-01,6.440390348434448242e-01,4.880181849002838135e-01,5.297430157661437988e-01,7.410480976104736328e-01,8.406593799591064453e-01,5.622727796435356140e-03,7.727783322334289551e-01,-4.826965630054473877e-01,4.727556109428405762e-01,7.803887128829956055e-02,-5.320282578468322754e-01,5.672662258148193359e-01,-8.526561856269836426e-01,-8.449710160493850708e-02,2.459668181836605072e-02,-5.162096619606018066e-01,-6.067172288894653320e-01,2.080254107713699341e-01,-2.666609287261962891e-01,2.605389058589935303e-01,-2.409409880638122559e-01,7.196729779243469238e-01,1.020817756652832031e-01,7.124325037002563477e-01,-5.199330300092697144e-02,8.969643712043762207e-01,9.736543297767639160e-01,-1.914311051368713379e-01,6.838048696517944336e-01,6.403446197509765625e-01,-6.840849518775939941e-01,-5.417504534125328064e-02,8.473591506481170654e-02,-6.453149765729904175e-02,7.105392962694168091e-02,3.100447654724121094e-01,-4.287475943565368652e-01,4.309456646442413330e-01,9.692268371582031250e-01,2.216948196291923523e-02,-5.465750098228454590e-01,2.833876907825469971e-01,-4.820009768009185791e-01,-1.540375500917434692e-01,-5.925970673561096191e-01,-6.255350708961486816e-01,6.422001719474792480e-01,-7.551628351211547852e-01,6.555482745170593262e-01,1.905536353588104248e-01,3.796706497669219971e-01,-9.873718023300170898e-01,-3.643321990966796875e-01,-8.108988404273986816e-01,-7.506322264671325684e-01,3.724565207958221436e-01,3.051698766648769379e-02,-8.722001314163208008e-01,-3.107368648052215576e-01,-8.098906278610229492e-02,4.962184727191925049e-01,8.102511763572692871e-01,7.995737791061401367e-01,-9.923555850982666016e-01,-1.969365924596786499e-01,4.322382807731628418e-01,8.777428269386291504e-01,-3.163536489009857178e-01,1.679167151451110840e-01,-9.007884562015533447e-02,1.669491827487945557e-01,5.305864810943603516e-01,2.206450551748275757e-01,-2.485168129205703735e-01,1.181892678141593933e-01,6.716446876525878906e-01,-3.717551827430725098e-01,-2.922544628381729126e-02,-1.414166390895843506e-01,-9.747261404991149902e-01,-3.113467991352081299e-01,9.129838943481445312e-01,2.511536180973052979e-01,-7.146177887916564941e-01,-9.872260093688964844e-01,-2.170536965131759644e-01,-4.332720339298248291e-01,4.513087570667266846e-01,-7.794786691665649414e-01,8.018650412559509277e-01,5.798389017581939697e-02,6.486448645591735840e-01
-8.847358822822570801e-01,-3.691533803939819336e-01,-5.815876647830009460e-02,-5.229005813598632812e-01,2.074741274118423462e-01,-8.546234965324401855e-01,-9.087096452713012695e-01,4.551672339439392090e-01,7.131363153457641602e-01,-2.976164817810058594e-01,-9.963328242301940918e-01,-1.302953809499740601e-01,3.441138863563537598e-01,3.255931138992309570e-01,-5.344339013099670410e-01,-3.087404370307922363e-01,4.555791616439819336e-01,-8.339305520057678223e-01,2.601860761642456055e-01,5.853188633918762207e-01,9.557484984397888184e-01,-8.619977533817291260e-02,-8.120481371879577637e-01,-2.467004656791687012e-01,9.270979762077331543e-01,-8.987844586372375488e-01,-4.934624731540679932e-01,-8.147184252738952637e-01,4.948307871818542480e-01,9.227642416954040527e-01,5.587000846862792969e-01,1.827828772366046906e-02,2.694301307201385498e-01,3.023506104946136475e-01,-2.307217121124267578e-01,-9.499909877777099609e-01,1.639956980943679810e-01,3.690802454948425293e-01,9.793170094490051270e-01,-5.504205226898193359e-01,7.379817217588424683e-02,-6.039276123046875000e-01,9.554415345191955566e-01,1.595497876405715942e-01,-2.358889430761337280e-01,4.352409392595291138e-02,5.892722606658935547e-01,-7.524801492691040039e-01,-2.746743522584438324e-02,-1.166051030158996582e-01,7.045764923095703125e-01,8.167287707328796387e-01,7.073926180601119995e-02,7.449288368225097656e-01,-3.221266269683837891e-01,-6.101914495229721069e-02,7.909691333770751953e-01,6.103188395500183105e-01,-9.138544201850891113e-01,2.148512452840805054e-01,-6.386917829513549805e-01,-8.904431760311126709e-02,-1.223785430192947388e-01,1.318626105785369873e-01,6.240251064300537109e-01,3.309410512447357178e-01,7.964118719100952148e-01,8.002315759658813477e-01,4.268394708633422852e-01,-2.008535861968994141e-01,9.911378026008605957e-01,2.231575548648834229e-01,8.989625573158264160e-01,-5.411850214004516602e-01,-6.498448252677917480e-01,-8.935758471488952637e-01,7.395021319389343262e-01,-6.746516227722167969e-01,-6.734333634376525879e-01,-5.208864212036132812e-01,2.805822789669036865e-01,1.913018152117729187e-02,-5.067859292030334473e-01,-3.621754050254821777e-01,4.325800538063049316e-01,-6.468665003776550293e-01,-4.658996760845184326e-01,6.811323165893554688e-01,8.996579647064208984e-01,-1.326029002666473389e-01,-7.530048489570617676e-01,-9.886162877082824707e-01,-7.293474078178405762e-01,-7.187175750732421875e-01,1.082732602953910828e-01,-9.701501578092575073e-02,7.580815553665161133e-01,-4.949979484081268311e-01,-6.955713629722595215e-01,8.412280082702636719e-01
2.821226604282855988e-02,-7.842536568641662598e-01,7.079350352287292480e-01,-1.372248232364654541e-01,1.241541951894760132e-01,-6.532011032104492188e-01,7.013854980468750000e-01,6.028112769126892090e-01,-8.565325736999511719e-01,-3.272789120674133301e-01,-4.958765506744384766e-01,5.659879446029663086e-01,-1.214858219027519226e-01,9.101099967956542969e-01,-2.064106613397598267e-01,2.169213294982910156e-01,9.574350118637084961e-01,-1.701932698488235474e-01,1.872233301401138306e-01,8.599730134010314941e-01,-8.895757198333740234e-01,2.726500928401947021e-01,-1.335174143314361572e-01,-7.148782014846801758e-01,-2.005366683006286621e-01,-8.473516702651977539e-01,-8.131373524665832520e-01,-1.611789464950561523e-01,-3.428417742252349854e-01,-2.328613996505737305e-01,-6.919829845428466797e-01,3.970578014850616455e-01,2.361772209405899048e-01,-7.474927902221679688e-01,-9.221727848052978516e-01,-2.778221666812896729e-01,-2.453613281250000000e-01,-7.242143154144287109e-01,1.773940175771713257e-01,2.350942045450210571e-01,-7.937341928482055664e-01,2.852563560009002686e-02,2.799806296825408936e-01,5.511619448661804199e-01,-9.374248385429382324e-01,9.172604084014892578e-01,-5.581710860133171082e-02,5.553843379020690918e-01,4.792667031288146973e-01,-9.750643968582153320e-01,8.920742273330688477e-01,6.050768867135047913e-02,5.704795718193054199e-01,-3.195255398750305176e-01,-7.646894454956054688e-01,5.215322375297546387e-01,-9.970952272415161133e-01,-6.744562089443206787e-02,-9.816382527351379395e-01,5.760782361030578613e-01,-1.796587556600570679e-01,-2.369239330291748047e-01,4.629898369312286377e-01,-3.108918070793151855e-01,4.507143497467041016e-01,-8.641991019248962402e-01,9.030221700668334961e-01,-5.270356312394142151e-02,-6.819819211959838867e-01,-3.095029294490814209e-01,-9.816535711288452148e-01,7.412914037704467773e-01,-2.152469009160995483e-02,-7.010746598243713379e-01,-1.690455973148345947e-01,-7.927173376083374023e-01,-6.748038530349731445e-01,5.909462571144104004e-01,5.450457334518432617e-01,8.710944652557373047e-01,-8.156202435493469238e-01,-5.465980768203735352e-01,2.643303573131561279e-01,-6.741440892219543457e-01,2.231432050466537476e-01,-1.167322620749473572e-01,-8.480727076530456543e-01,-2.355611026287078857e-01,-3.010230064392089844e-01,-4.326856434345245361e-01,-1.058045476675033569e-01,3.539659827947616577e-02,1.874840408563613892e-01,7.353138923645019531e-01,3.534590005874633789e-01,-1.109401136636734009e-01,8.071581125259399414e-01,-6.300956010818481445e-01,-8.121218681335449219e-01,-1.166704148054122925e-01
3.663780391216278076e-01,4.749145805835723877e-01,2.497603744268417358e-01,-4.381461143493652344e-01,3.289878070354461670e-01,-6.810436248779296875e-01,-3.288227692246437073e-02,3.729603588581085205e-01,-7.559776306152343750e-01,6.853991150856018066e-01,8.333524465560913086e-01,1.413877606391906738e-01,-6.784106492996215820e-01,8.753236532211303711e-01,1.387114077806472778e-01,4.477635025978088379e-01,-1.208430901169776917e-01,-7.919814586639404297e-01,-9.615337252616882324e-01,-7.279889583587646484e-01,6.225542426109313965e-01,-3.859987854957580566e-01,-8.968804478645324707e-01,8.468676209449768066e-01,-3.469190001487731934e-01,8.634180426597595215e-01,2.881417274475097656e-01,-9.672431349754333496e-01,-8.308944106101989746e-01,3.782761991024017334e-01,-5.272195935249328613e-01,-6.461585760116577148e-01,-8.847766518592834473e-01,5.253807902336120605e-01,-5.561322569847106934e-01,-6.861352324485778809e-01,-8.041994571685791016e-01,-3.766922652721405029e-01,-6.328175663948059082e-01,2.902463972568511963e-01,-8.366205096244812012e-01,6.938477754592895508e-01,3.496631979942321777e-01,6.742540597915649414e-01,-3.827120661735534668e-01,8.898343443870544434e-01,2.848066687583923340e-01,4.830628931522369385e-01,6.102665066719055176e-01,-3.379104435443878174e-01,-6.455721259117126465e-01,3.192204236984252930e-01,3.266790211200714111e-01,1.233034729957580566e-01,2.211905829608440399e-02,5.673269033432006836e-01,3.312201499938964844e-01,3.619013726711273193e-02,-3.358618617057800293e-01,9.310357570648193359e-01,1.597991734743118286e-01,-7.778876274824142456e-02,-2.932308018207550049e-01,-6.794237494468688965e-01,-5.825334787368774414e-01,-1.280243545770645142e-01,-4.509334564208984375e-01,6.449665427207946777e-01,-8.625863194465637207e-01,5.660622715950012207e-01,1.684595644474029541e-02,-8.690475225448608398e-01,-4.941313266754150391e-01,-5.102563500404357910e-01,9.209138154983520508e-02,-5.978305935859680176e-01,5.511924624443054199e-01,4.949802458286285400e-01,-5.630478262901306152e-01,-1.863228976726531982e-01,-5.535914301872253418e-01,1.119795739650726318e-01,-7.186741232872009277e-01,7.540374398231506348e-01,4.128750264644622803e-01,-1.462743282318115234e-01,9.113531708717346191e-01,8.000215291976928711e-01,9.864468574523925781e-01,2.480666786432266235e-01,7.539737224578857422e-01,7.375295758247375488e-01,-4.679590463638305664e-01,1.578510552644729614e-01,8.835871219635009766e-01,-8.679368495941162109e-01,-1.972446739673614502e-01,-6.061338782310485840e-01,3.552666902542114258e-01,1.807124614715576172e-01
-7.391195893287658691e-01,3.476167023181915283e-01,-5.491374731063842773e-01,-8.463557958602905273e-01,9.333260059356689453e-01,7.032352685928344727e-01,-8.144476413726806641e-01,7.718139886856079102e-01,-7.547337561845779419e-02,-1.441741734743118286e-01,-2.681621611118316650e-01,8.679025769233703613e-01,8.816176056861877441e-01,7.075896859169006348e-02,4.821321368217468262e-01,-7.664062380790710449e-01,-8.812053799629211426e-01,-2.658109366893768311e-01,-6.250364780426025391e-01,-1.476182490587234497e-01,2.881834805011749268e-01,-6.042048707604408264e-02,-2.484330683946609497e-01,-8.966624736785888672e-01,6.046671271324157715e-01,1.113213747739791870e-01,-3.098713755607604980e-01,-7.000282406806945801e-02,-2.014511972665786743e-01,-3.795115053653717041e-01,2.883411943912506104e-01,-3.942313194274902344e-01,-6.605195403099060059e-01,1.286527216434478760e-01,-9.216582775115966797e-01,-2.719563543796539307e-01,4.521342217922210693e-01,2.803123295307159424e-01,-3.821474313735961914e-01,5.484585762023925781e-01,4.935359358787536621e-01,-9.945150017738342285e-01,-9.430718421936035156e-01,3.467790186405181885e-01,-1.902359277009963989e-01,9.999399781227111816e-01,-9.729230403900146484e-01,-6.644040346145629883e-01,-3.961561918258666992e-01,7.497947812080383301e-01,8.169084787368774414e-01,8.570034988224506378e-03,-3.997587859630584717e-01,7.353769540786743164e-01,5.458723902702331543e-01,7.501037120819091797e-01,-5.433564186096191406e-01,6.365290284156799316e-01,-6.168971657752990723e-01,-7.276123762130737305e-01,9.091607928276062012e-01,-2.767263054847717285e-01,8.251268267631530762e-01,8.900009393692016602e-01,-1.810301989316940308e-01,-9.267518296837806702e-03,-3.799214959144592285e-01,4.933067560195922852e-01,3.772222995758056641e-01,-6.643051505088806152e-01,-5.108858942985534668e-01,2.835114896297454834e-01,3.024690151214599609e-01,5.458884239196777344e-01,-8.708657026290893555e-01,-4.322106540203094482e-01,-8.519822359085083008e-01,-3.290270566940307617e-01,8.143942356109619141e-01,4.826413691043853760e-01,8.225670456886291504e-02,-4.530269801616668701e-01,-9.260098934173583984e-01,-7.176699638366699219e-01,4.346476793289184570e-01,9.697633981704711914e-01,-6.958600878715515137e-02,-6.388468295335769653e-02,2.941160500049591064e-01,1.457956582307815552e-01,8.595858216285705566e-01,-5.195966362953186035e-01,9.658669829368591309e-01,4.848562180995941162e-03,1.591807305812835693e-01,7.030168771743774414e-01,-8.545982241630554199e-01,-3.117773532867431641e-01,6.743512153625488281e-01,3.849057853221893311e-01
2.265784740447998047e-01,-9.973375797271728516e-01,9.706857204437255859e-01,-6.949762105941772461e-01,-4.074950516223907471e-02,-2.601870298385620117e-01,-4.954520463943481445e-01,-7.352247238159179688e-01,-3.864558339118957520e-01,-9.583573937416076660e-01,-6.402344703674316406e-01,-1.901278644800186157e-01,-3.266802430152893066e-01,2.300733476877212524e-01,-2.400349825620651245e-01,-5.946369767189025879e-01,-1.649497896432876587e-01,-9.786496162414550781e-01,-8.249450922012329102e-01,6.030423045158386230e-01,6.813370585441589355e-01,-1.479282081127166748e-01,-9.418790340423583984e-01,-4.021252039819955826e-03,-3.198169469833374023e-01,-3.092529252171516418e-02,6.876008510589599609e-01,5.102710723876953125e-01,-8.056471347808837891e-01,2.513065636157989502e-01,-1.759354323148727417e-01,2.460283339023590088e-01,7.513102889060974121e-01,-3.857103884220123291e-01,3.210956454277038574e-01,-6.641086935997009277e-01,-9.015528559684753418e-01,7.582589387893676758e-01,-7.355688810348510742e-01,2.595149576663970947e-01,-1.006919145584106445e-01,3.812480568885803223e-01,-7.979454398155212402e-01,-8.873842954635620117e-01,9.754695296287536621e-01,2.983559072017669678e-01,-5.624933838844299316e-01,9.339945912361145020e-01,-4.940603673458099365e-01,5.117516517639160156e-01,9.667131304740905762e-01,-9.519783854484558105e-01,-3.332977294921875000e-01,9.371699690818786621e-01,6.283444762229919434e-01,-7.120285630226135254e-01,-7.442597746849060059e-01,7.235185801982879639e-02,9.148824214935302734e-01,-7.570449113845825195e-01,-2.302881926298141479e-01,-1.947124749422073364e-01,-5.659837126731872559e-01,5.273626446723937988e-01,-3.225732743740081787e-01,3.979544937610626221e-01,-5.159426331520080566e-01,-5.918009877204895020e-01,5.239691138267517090e-01,-1.938069313764572144e-01,-6.800850033760070801e-01,-7.799200415611267090e-01,6.717041134834289551e-01,2.538713514804840088e-01,-3.985753655433654785e-01,-6.502650380134582520e-01,1.123785879462957382e-02,-7.589631676673889160e-01,-3.816537857055664062e-01,8.417403101921081543e-01,-4.164384901523590088e-01,5.224183201789855957e-01,7.449250668287277222e-02,-4.264107346534729004e-01,3.588275238871574402e-02,-5.270829200744628906e-01,7.706485688686370850e-02,-9.484913349151611328e-01,5.614129900932312012e-01,6.884486079216003418e-01,-1.136361882090568542e-01,4.967388808727264404e-01,-7.131939530372619629e-01,8.251394629478454590e-01,5.887480378150939941e-01,-2.470786422491073608e-01,-3.606181740760803223e-01,7.893760800361633301e-01,4.354371428489685059e-01,-9.085839986801147461e-01
-1.598833799362182617e-01,3.163060545921325684e-01,-9.547904133796691895e-01,-9.829316288232803345e-02,-3.396775424480438232e-01,9.700140357017517090e-01,9.637376070022583008e-01,9.486597180366516113e-01,-7.449280023574829102e-01,3.887667655944824219e-01,8.027102947235107422e-01,-2.123144865036010742e-01,2.908140718936920166e-01,8.964442610740661621e-01,8.076419681310653687e-02,8.140485882759094238e-01,9.022833108901977539e-01,-9.431900978088378906e-01,9.415619969367980957e-01,3.728369176387786865e-01,-8.047430515289306641e-01,4.058040976524353027e-01,5.824087262153625488e-01,-1.279466897249221802e-01,-6.907821893692016602e-01,1.156741678714752197e-01,1.536617707461118698e-02,2.556631863117218018e-01,2.559269964694976807e-01,3.120562434196472168e-01,-9.084758162498474121e-01,3.016296327114105225e-01,3.945788741111755371e-01,-5.586805194616317749e-02,-7.638828158378601074e-01,-4.821445047855377197e-01,1.860451400279998779e-01,-8.078354597091674805e-01,8.110078573226928711e-01,9.822326898574829102e-01,3.973125219345092773e-01,7.130619883537292480e-01,-4.807138144969940186e-01,-6.439529061317443848e-01,7.682725191116333008e-01,8.828204870223999023e-01,-5.919653549790382385e-02,7.518141269683837891e-01,8.236572146415710449e-02,4.485216438770294189e-01,-3.046506941318511963e-01,-9.025428295135498047e-01,-3.812889456748962402e-01,-9.134842157363891602e-01,-8.736464977264404297e-01,-7.486409544944763184e-01,1.410187333822250366e-01,2.682615220546722412e-01,-4.977389276027679443e-01,-1.303209513425827026e-01,-3.439182639122009277e-01,-2.833638489246368408e-01,-4.689503610134124756e-01,-7.678833007812500000e-01,-4.729560315608978271e-01,-8.129951357841491699e-01,-9.084320068359375000e-01,7.616229057312011719e-01,-5.904634594917297363e-01,2.083576023578643799e-01,-3.675309717655181885e-01,9.129800796508789062e-01,-8.884739279747009277e-01,9.204594492912292480e-01,9.766687154769897461e-01,3.868817985057830811e-01,-5.366451740264892578e-01,2.465898692607879639e-01,-6.483313441276550293e-02,9.061503410339355469e-02,5.951693058013916016e-01,-7.531247138977050781e-01,-7.666194438934326172e-02,5.750137567520141602e-01,6.443590521812438965e-01,9.936867952346801758e-01,4.327863752841949463e-01,2.518925070762634277e-01,1.118461564183235168e-01,-4.346303939819335938e-01,5.016954541206359863e-01,8.810307830572128296e-02,9.296893328428268433e-02,1.852663606405258179e-01,4.531674981117248535e-01,-2.420633658766746521e-02,7.315148711204528809e-01,1.242684870958328247e-01,8.029012084007263184e-01,3.509930372238159180e-01
9.674057960510253906e-01,-3.789945542812347412e-01,9.193997085094451904e-02,3.674277365207672119e-01,-1.886486858129501343e-01,-1.751628071069717407e-01,9.739909768104553223e-01,-1.599405854940414429e-01,5.901969075202941895e-01,1.336427628993988037e-01,6.890338063240051270e-01,-3.161607384681701660e-01,-5.179769396781921387e-01,-2.086592018604278564e-01,1.169619932770729065e-01,-5.419982671737670898e-01,6.609914302825927734e-01,8.389770388603210449e-01,3.796228468418121338e-01,-4.892687201499938965e-01,-7.994242012500762939e-02,7.400394678115844727e-01,-7.569981813430786133e-01,-8.646429777145385742e-01,-7.368387579917907715e-01,6.309942007064819336e-01,7.635162472724914551e-01,2.335936389863491058e-02,2.987939119338989258e-01,-1.566065847873687744e-01,4.876180291175842285e-01,1.446665730327367783e-02,5.192231759428977966e-02,4.719009101390838623e-01,-2.743627429008483887e-01,-6.819860935211181641e-01,6.566534638404846191e-01,-8.180329799652099609e-01,-2.020061910152435303e-01,-8.972005844116210938e-01,3.210208117961883545e-01,-9.721328020095825195e-01,-6.517848372459411621e-01,2.437860816717147827e-01,-6.819517612457275391e-01,1.731707155704498291e-01,4.759182035923004150e-01,-4.536369442939758301e-01,1.731321960687637329e-01,-9.965646266937255859e-01,-9.693535566329956055e-01,5.616893172264099121e-01,2.196982949972152710e-01,2.452881038188934326e-01,-5.252290368080139160e-01,2.438762336969375610e-01,-6.124208569526672363e-01,2.065398842096328735e-01,-9.558526277542114258e-01,2.020120471715927124e-01,3.878836631774902344e-01,9.572656750679016113e-01,2.642806470394134521e-01,4.470903277397155762e-01,-3.741675615310668945e-01,-6.118919849395751953e-01,-3.370604217052459717e-01,5.682335495948791504e-01,-5.344054102897644043e-01,-3.144489526748657227e-01,-7.535231113433837891e-01,-9.303146600723266602e-01,-2.834267020225524902e-01,-6.296532154083251953e-01,1.647664457559585571e-01,-8.683494478464126587e-02,8.357750773429870605e-01,-5.336279273033142090e-01,1.343468576669692993e-01,-2.147541344165802002e-01,7.364897131919860840e-01,7.883572578430175781e-01,-8.255105018615722656e-01,-5.167595148086547852e-01,4.310089349746704102e-01,-1.768634319305419922e-01,8.745723962783813477e-01,4.008212983608245850e-01,-9.774416685104370117e-01,9.797909259796142578e-01,6.305005550384521484e-01,-4.359431862831115723e-01,-1.765920035541057587e-02,-8.412794470787048340e-01,-2.344052195549011230e-01,6.293552517890930176e-01,9.403499960899353027e-01,-3.091806173324584961e-01,-3.379498720169067383e-01,9.584875106811523438e-01
