level_equivalent_diameter,level_major_axis_length,level_minor_axis_length,level_solidity,nodes,distmap-skew,distmap-kurt
7.990805053710937500e+01,1.074504013061523438e+02,7.321042633056640625e+01,7.838386893272399902e-01,1.700000000000000000e+01,7.743098735809326172e-01,-3.122779726982116699e-01
5.541708755493164062e+01,8.562340545654296875e+01,6.886835479736328125e+01,5.370741486549377441e-01,1.700000000000000000e+01,1.092929601669311523e+00,3.584031462669372559e-01
6.888660430908203125e+01,1.010982131958007812e+02,8.473172760009765625e+01,6.021974682807922363e-01,3.500000000000000000e+01,1.528181314468383789e+00,2.141338109970092773e+00
8.469611358642578125e+01,1.171260528564453125e+02,7.274979400634765625e+01,7.230492830276489258e-01,3.500000000000000000e+01,1.119897842407226562e+00,7.007286548614501953e-01
6.064972305297851562e+01,1.129363632202148438e+02,4.473110580444335938e+01,6.370452046394348145e-01,1.300000000000000000e+01,8.255900144577026367e-01,-5.054953321814537048e-02
2.689237976074218750e+01,4.604996109008789062e+01,3.278942489624023438e+01,5.235022902488708496e-01,4.000000000000000000e+00,3.682307302951812744e-01,-8.408637642860412598e-01
8.528038787841796875e+01,1.270001831054687500e+02,8.077347564697265625e+01,6.994856595993041992e-01,4.000000000000000000e+01,9.553120136260986328e-01,3.001386523246765137e-01
4.876895904541015625e+01,5.614798355102539062e+01,4.781668472290039062e+01,8.596410751342773438e-01,2.200000000000000000e+01,5.706425309181213379e-01,-4.514521360397338867e-01
7.757144927978515625e+01,1.107175521850585938e+02,7.134565734863281250e+01,7.401722669601440430e-01,1.800000000000000000e+01,9.979152083396911621e-01,4.616245925426483154e-01
7.425043487548828125e+01,1.038487014770507812e+02,6.144296264648437500e+01,8.749242424964904785e-01,2.900000000000000000e+01,1.505105853080749512e+00,1.939192533493041992e+00
7.035876464843750000e+01,8.326135253906250000e+01,6.789112091064453125e+01,8.630410432815551758e-01,4.100000000000000000e+01,1.104280114173889160e+00,7.173117995262145996e-01
