level_equivalent_diameter,level_major_axis_length,level_minor_axis_length,level_solidity,nodes,distmap-skew,distmap-kurt
7.876862335205078125e+01,1.045074539184570312e+02,7.291335296630859375e+01,5.645273327827453613e-01,3.400000000000000000e+01,7.440413236618041992e-01,-2.820710241794586182e-01
8.266484832763671875e+01,1.083531265258789062e+02,7.580705261230468750e+01,7.023949623107910156e-01,2.600000000000000000e+01,1.065469145774841309e+00,6.553525328636169434e-01
8.468107604980468750e+01,1.181776428222656250e+02,1.095934829711914062e+02,4.838903546333312988e-01,2.800000000000000000e+01,1.494630098342895508e+00,1.944172739982604980e+00
9.357386779785156250e+01,1.391009674072265625e+02,9.396959686279296875e+01,5.926915407180786133e-01,5.700000000000000000e+01,1.078492283821105957e+00,9.917463660240173340e-01
1.631278800964355469e+01,2.420415687561035156e+01,1.344503879547119141e+01,8.164062500000000000e-01,2.000000000000000000e+00,5.343634486198425293e-01,-7.272807955741882324e-01
4.274457550048828125e+01,5.262323379516601562e+01,3.843631744384765625e+01,8.039215803146362305e-01,9.000000000000000000e+00,6.449990272521972656e-01,-5.269803404808044434e-01
6.339040756225585938e+01,9.167060089111328125e+01,7.275027465820312500e+01,4.085436761379241943e-01,2.900000000000000000e+01,1.092032909393310547e+00,8.408276438713073730e-01
6.282549285888671875e+01,8.370584106445312500e+01,6.555499267578125000e+01,6.498951911926269531e-01,3.400000000000000000e+01,1.156824469566345215e+00,8.954355716705322266e-01
1.422832012176513672e+01,1.759854888916015625e+01,1.296231365203857422e+01,8.368421196937561035e-01,2.000000000000000000e+00,6.499337553977966309e-01,-6.513673663139343262e-01
7.432756042480468750e+01,1.133175735473632812e+02,9.242993164062500000e+01,4.435244798660278320e-01,6.500000000000000000e+01,8.743963837623596191e-01,2.256695181131362915e-01
4.420885467529296875e+01,4.735243606567382812e+01,4.344921875000000000e+01,9.202637672424316406e-01,7.000000000000000000e+00,8.982650637626647949e-01,-1.408368647098541260e-01
7.992398071289062500e+01,8.761428070068359375e+01,7.501377868652343750e+01,9.158452153205871582e-01,6.000000000000000000e+00,5.406879186630249023e-01,-6.935772895812988281e-01
9.639555358886718750e+01,1.152761764526367188e+02,9.603855133056640625e+01,6.216354370117187500e-01,3.700000000000000000e+01,9.228634238243103027e-01,4.229646325111389160e-01
7.243631744384765625e+01,1.076565628051757812e+02,8.635814666748046875e+01,5.372180938720703125e-01,3.900000000000000000e+01,8.399400711059570312e-01,-7.030768692493438721e-02
5.978280258178710938e+01,8.479092407226562500e+01,7.376579284667968750e+01,3.602875173091888428e-01,3.200000000000000000e+01,9.381394982337951660e-01,1.973681598901748657e-01
6.266315460205078125e+01,6.743902587890625000e+01,6.509632110595703125e+01,8.029159307479858398e-01,1.000000000000000000e+01,9.527451992034912109e-01,2.773077227175235748e-02
6.782488250732421875e+01,9.109624481201171875e+01,6.167274475097656250e+01,7.060777544975280762e-01,3.800000000000000000e+01,1.354612469673156738e+00,1.570132732391357422e+00
4.041740036010742188e+01,6.652806091308593750e+01,5.255107879638671875e+01,5.113590955734252930e-01,2.000000000000000000e+01,9.344709515571594238e-01,3.095337450504302979e-01
6.794679260253906250e+01,1.347604217529296875e+02,7.629093933105468750e+01,3.682339787483215332e-01,4.300000000000000000e+01,1.630896210670471191e+00,2.949323415756225586e+00
7.744824981689453125e+01,1.153253936767578125e+02,8.274650573730468750e+01,5.368660688400268555e-01,2.500000000000000000e+01,9.650064706802368164e-01,3.246148526668548584e-01
