z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99
-5.792272090911865234e-01,9.137137979269027710e-02,-6.151135563850402832e-01,5.662429332733154297e-01,-4.467693865299224854e-01,6.875855326652526855e-01,-1.200447008013725281e-01,-9.605538845062255859e-01,5.306401848793029785e-01,8.096025586128234863e-01,7.226838469505310059e-01,-9.999480247497558594e-01,-5.926225781440734863e-01,-7.643114328384399414e-01,-3.991989791393280029e-01,-8.223090767860412598e-01,8.480086922645568848e-01,-1.921576261520385742e-01,-3.940655291080474854e-01,-6.434143781661987305e-01,-7.887395620346069336e-01,-1.225318983197212219e-01,2.314783483743667603e-01,-1.318533122539520264e-01,5.960403084754943848e-01,-6.039863824844360352e-01,-5.265886783599853516e-01,-1.248180121183395386e-01,-8.111757040023803711e-01,8.092007637023925781e-01,9.394196271896362305e-01,-3.680785894393920898e-01,6.501585841178894043e-01,-3.912045657634735107e-01,6.108539104461669922e-01,7.015644907951354980e-01,6.295995712280273438e-01,1.711322814226150513e-01,2.989661693572998047e-01,-6.017770767211914062e-01,5.783078670501708984e-01,9.602839946746826172e-01,-1.806569546461105347e-01,8.642562031745910645e-01,-6.837856173515319824e-01,9.535381793975830078e-01,-4.319345653057098389e-01,9.301094412803649902e-01,-1.559446305036544800e-01,-7.254914641380310059e-01,-9.950767755508422852e-01,-2.228462249040603638e-01,-9.347226023674011230e-01,1.335129886865615845e-01,8.417207002639770508e-02,-4.256442189216613770e-01,-9.295958876609802246e-01,5.416879057884216309e-01,-8.093313574790954590e-01,1.794896125793457031e-01,8.004979044198989868e-02,-8.335111737251281738e-01,4.385436773300170898e-01,9.955474138259887695e-01,3.736591935157775879e-01,4.625384807586669922e-01,8.327405452728271484e-01,3.911302983760833740e-01,-8.528625369071960449e-01,-7.027411460876464844e-01,-9.423632621765136719e-01,8.797078728675842285e-01,7.603719234466552734e-01,1.984712481498718262e-01,5.200867056846618652e-01,-2.216678559780120850e-01,4.256437420845031738e-01,6.268400549888610840e-01,4.054970741271972656e-01,5.744083523750305176e-01,-9.744576811790466309e-01,9.808315038681030273e-01,-4.074772298336029053e-01,-7.055113315582275391e-01,6.386367976665496826e-02,2.163536697626113892e-01,1.061580479145050049e-01,-4.479877278208732605e-02,-3.724338114261627197e-01,-1.130519900470972061e-02,-7.092387080192565918e-01,7.235975861549377441e-01,1.452740430831909180e-01,-9.870030879974365234e-01,3.445575833320617676e-01,6.701996326446533203e-01,-2.420603334903717041e-01,8.300760388374328613e-01,-4.236263334751129150e-01,4.665551781654357910e-01
-1.934107244014739990e-01,1.651139408349990845e-01,7.688708305358886719e-01,4.914364218711853027e-01,-1.457482725381851196e-01,-6.734684109687805176e-01,-9.417366385459899902e-01,-5.270003676414489746e-01,5.791498422622680664e-01,8.174215555191040039e-01,3.811526596546173096e-01,-1.414100527763366699e-01,-9.523769617080688477e-01,7.875220179557800293e-01,-5.728842616081237793e-01,1.865791976451873779e-01,-9.083981513977050781e-01,9.150783419609069824e-01,-3.994497656822204590e-01,-6.042189002037048340e-01,-5.449511408805847168e-01,-2.712234556674957275e-01,5.954571366310119629e-01,-1.775781661272048950e-01,-6.747522354125976562e-01,5.723189115524291992e-01,6.784112751483917236e-02,-8.595805764198303223e-01,8.476890921592712402e-01,-7.500170469284057617e-01,4.942671358585357666e-01,-3.449339270591735840e-01,2.467278093099594116e-01,3.291741609573364258e-01,-5.134727358818054199e-01,1.396957486867904663e-01,5.371868014335632324e-01,-9.664305299520492554e-02,3.149042725563049316e-01,-1.343795359134674072e-01,-9.721081852912902832e-01,-1.414936482906341553e-01,2.485626786947250366e-01,-3.547366261482238770e-01,7.679773569107055664e-01,-3.696798980236053467e-01,-2.991985380649566650e-01,-9.233155846595764160e-01,-5.491053462028503418e-01,-9.968743920326232910e-01,-2.392975240945816040e-01,-3.104887902736663818e-01,-7.610703706741333008e-01,8.650684356689453125e-01,1.878790855407714844e-01,-4.987570047378540039e-01,8.965243101119995117e-01,-9.561943262815475464e-02,8.879278898239135742e-01,4.900523424148559570e-01,-6.086909174919128418e-01,6.604514718055725098e-01,-7.811653614044189453e-01,3.811228275299072266e-01,2.266527116298675537e-01,-5.113834142684936523e-01,-1.425426453351974487e-01,7.242967486381530762e-01,-8.130301833152770996e-01,6.769427657127380371e-02,-4.644277393817901611e-01,-9.220151305198669434e-01,-3.803746104240417480e-01,4.287853538990020752e-01,8.468405604362487793e-01,-8.110185861587524414e-01,-2.494654208421707153e-01,-3.191558122634887695e-01,-7.399781346321105957e-01,4.486680924892425537e-01,-9.704765677452087402e-01,-1.871432512998580933e-01,-5.267911553382873535e-01,-2.848821878433227539e-01,-2.427669614553451538e-01,4.417396783828735352e-01,-3.884403109550476074e-01,8.012698292732238770e-01,2.893075942993164062e-01,3.689150810241699219e-01,-2.581978738307952881e-01,-3.313063085079193115e-01,9.454343318939208984e-01,7.393834590911865234e-01,-8.683714270591735840e-01,-2.220850437879562378e-01,-5.969393532723188400e-03,3.259992599487304688e-01,-2.269475311040878296e-01,-7.692895531654357910e-01
2.595632076263427734e-01,6.912516355514526367e-01,-2.411399334669113159e-01,-7.749803066253662109e-01,7.249021530151367188e-01,6.840273737907409668e-01,-3.025236353278160095e-02,5.046846270561218262e-01,-8.968139290809631348e-01,1.692491024732589722e-01,7.467454671859741211e-01,8.287230134010314941e-01,-2.067202031612396240e-01,1.826221346855163574e-01,4.330323338508605957e-01,-8.581234216690063477e-01,-2.254989892244338989e-01,-7.315618991851806641e-01,-1.843073517084121704e-01,5.312541127204895020e-01,9.656079411506652832e-01,1.456566751003265381e-01,6.283527612686157227e-01,-5.402718782424926758e-01,4.049972593784332275e-01,-7.498050332069396973e-01,7.324354648590087891e-01,2.578854858875274658e-01,-1.640017181634902954e-01,1.446008216589689255e-02,-6.171684861183166504e-01,-6.997438073158264160e-01,8.221652507781982422e-01,8.770098090171813965e-01,1.249834224581718445e-01,3.257396221160888672e-01,-3.539205715060234070e-02,-5.150520429015159607e-02,6.089251637458801270e-01,-9.963064789772033691e-01,1.689787805080413818e-01,-4.112987220287322998e-01,-5.210139155387878418e-01,5.556296706199645996e-01,4.676363989710807800e-02,8.545036911964416504e-01,-8.869591951370239258e-01,-5.742070674896240234e-01,2.236260324716567993e-01,9.138966798782348633e-01,6.973940134048461914e-01,-4.255080223083496094e-02,-9.166168570518493652e-01,6.756746768951416016e-01,-9.453133344650268555e-01,3.551165461540222168e-01,-1.925337761640548706e-01,-4.794786274433135986e-01,-2.762432992458343506e-01,-5.614441633224487305e-01,4.229421913623809814e-01,2.290499024093151093e-02,8.010677099227905273e-01,4.472692906856536865e-01,-4.129670560359954834e-01,-2.406465113162994385e-01,-5.209155380725860596e-02,9.801048636436462402e-01,-4.819024503231048584e-01,7.736214399337768555e-01,3.604528903961181641e-01,6.257616877555847168e-01,-6.677649617195129395e-01,1.480070054531097412e-01,9.700862765312194824e-01,4.617858529090881348e-01,1.865968555212020874e-01,3.624016940593719482e-01,-1.368276774883270264e-01,1.974271982908248901e-01,9.571013450622558594e-01,6.339433789253234863e-01,-3.935307562351226807e-01,-6.606965065002441406e-01,5.303136706352233887e-01,-5.562350898981094360e-02,-9.207562804222106934e-01,-5.779796838760375977e-01,4.577627182006835938e-01,2.980298101902008057e-01,-1.092998981475830078e-01,-2.171687930822372437e-01,-3.657635748386383057e-01,-7.268052697181701660e-01,-5.483521893620491028e-02,4.430781006813049316e-01,5.639988183975219727e-01,-9.207303524017333984e-01,7.209072113037109375e-01,-7.159697413444519043e-01
-2.682121992111206055e-01,9.149547219276428223e-01,1.593972183763980865e-02,7.753501534461975098e-01,5.050436258316040039e-01,6.114733219146728516e-02,7.439651489257812500e-01,-8.540326952934265137e-01,7.898924350738525391e-01,-6.851543188095092773e-01,4.646593928337097168e-01,-2.397862970829010010e-01,4.695755839347839355e-01,-9.431560635566711426e-01,2.437279075384140015e-01,-9.074067324399948120e-02,-4.645355939865112305e-01,-8.954806327819824219e-01,8.481896668672561646e-02,9.326217770576477051e-01,9.085088372230529785e-01,1.667144149541854858e-01,4.866279661655426025e-01,5.137157440185546875e-01,8.080120682716369629e-01,4.505462646484375000e-01,-2.943036258220672607e-01,-2.117907404899597168e-01,3.280671536922454834e-01,3.220575749874114990e-01,5.371636748313903809e-01,6.589665412902832031e-01,6.586759686470031738e-01,-4.047139883041381836e-01,-5.338342785835266113e-01,-4.018843472003936768e-01,-8.420726060867309570e-01,-5.167288780212402344e-01,1.897439658641815186e-01,-3.400560915470123291e-01,6.211808919906616211e-01,2.013145573437213898e-02,-2.113694995641708374e-01,-9.969644546508789062e-01,-2.911494374275207520e-01,9.459878206253051758e-01,-2.511941790580749512e-01,6.664833426475524902e-01,5.175479650497436523e-01,7.628446817398071289e-01,-4.111526906490325928e-02,-7.592338323593139648e-01,3.636877834796905518e-01,-3.594477772712707520e-01,5.014538168907165527e-01,2.389981448650360107e-01,-9.864492416381835938e-01,-1.791142821311950684e-01,-2.119005620479583740e-01,-9.131993055343627930e-01,6.012500524520874023e-01,7.165015488862991333e-02,-7.947001457214355469e-01,1.074097976088523865e-01,6.599748134613037109e-01,1.345498859882354736e-02,6.577484011650085449e-01,7.978999614715576172e-01,-2.187514007091522217e-01,3.153200149536132812e-01,-7.430093884468078613e-01,1.023463904857635498e-01,2.075038477778434753e-02,-6.099447980523109436e-02,-3.548128008842468262e-01,4.610609412193298340e-01,-7.347664237022399902e-02,9.484952688217163086e-01,-1.209946572780609131e-01,7.131504416465759277e-01,4.896652996540069580e-01,-2.938675880432128906e-01,4.501065015792846680e-01,4.675083979964256287e-02,-3.671472966670989990e-01,6.096109002828598022e-02,-3.274499773979187012e-01,-4.424700438976287842e-01,-2.375991940498352051e-01,4.900307953357696533e-01,5.401502847671508789e-01,-5.194521546363830566e-01,5.702992677688598633e-01,2.753609120845794678e-01,4.988979995250701904e-01,-3.672075867652893066e-01,-8.523142933845520020e-01,-4.851450026035308838e-01,-8.472073674201965332e-01,1.917912252247333527e-02
-9.517322778701782227e-01,8.913536667823791504e-01,9.147577285766601562e-01,-8.386803865432739258e-01,-8.869698047637939453e-01,-8.307455182075500488e-01,6.336724758148193359e-01,7.352512478828430176e-01,6.321485638618469238e-01,-9.106785058975219727e-01,-1.632232777774333954e-02,1.909628361463546753e-01,-4.354929551482200623e-04,-8.229762315750122070e-01,-3.397822678089141846e-01,8.931211233139038086e-01,-6.930499672889709473e-01,-8.361796736717224121e-01,-2.700701057910919189e-01,-6.522545814514160156e-01,7.642294168472290039e-01,-8.763489723205566406e-01,-9.621371626853942871e-01,-5.276178717613220215e-01,-4.376532733440399170e-01,-3.295269906520843506e-01,9.660104513168334961e-01,-4.255057871341705322e-02,9.484249949455261230e-01,-9.857273101806640625e-01,5.105598568916320801e-01,5.162914991378784180e-01,9.840469360351562500e-01,-4.367770552635192871e-01,6.215348839759826660e-01,-7.842797636985778809e-01,6.507695317268371582e-01,-8.135893940925598145e-01,6.946547627449035645e-01,9.807550907135009766e-01,4.011758565902709961e-01,3.730144724249839783e-02,-9.671699404716491699e-01,-5.624646544456481934e-01,-4.852150380611419678e-01,3.754158914089202881e-01,-6.692381501197814941e-01,-8.750036358833312988e-01,-9.427791237831115723e-01,7.014038562774658203e-01,-8.712372183799743652e-01,-4.985797032713890076e-02,2.980772852897644043e-01,-3.556211292743682861e-01,-9.127733111381530762e-01,-6.179640889167785645e-01,-8.985359072685241699e-01,7.550098896026611328e-01,-6.466026306152343750e-01,7.173443436622619629e-01,-5.052128061652183533e-02,3.248622119426727295e-01,6.563683152198791504e-01,8.431865572929382324e-01,3.510642647743225098e-01,7.463175654411315918e-01,-2.501704990863800049e-01,4.528398513793945312e-01,-8.276079893112182617e-01,-4.963187575340270996e-01,-5.690633654594421387e-01,7.151328921318054199e-01,-4.172475337982177734e-01,7.560439705848693848e-01,5.905648469924926758e-01,-4.107179939746856689e-01,-4.057529196143150330e-02,1.759361326694488525e-01,3.368834853172302246e-01,4.111261069774627686e-01,4.851568341255187988e-01,-8.297649025917053223e-02,3.030015230178833008e-01,9.230522513389587402e-01,8.016963601112365723e-01,-3.760991990566253662e-01,-6.980799436569213867e-01,-3.959577381610870361e-01,-4.991154968738555908e-01,9.097281098365783691e-01,8.232865333557128906e-01,-7.200609445571899414e-01,7.036480903625488281e-01,-9.275140166282653809e-01,4.371511638164520264e-01,9.369891285896301270e-01,-1.108911782503128052e-01,2.786674797534942627e-01,5.563374161720275879e-01,-5.151950940489768982e-02
6.014383211731910706e-02,4.269394576549530029e-01,4.925506711006164551e-01,-7.234641909599304199e-01,-1.867973059415817261e-01,5.645583271980285645e-01,-7.316365838050842285e-01,1.851471140980720520e-02,-7.426124215126037598e-01,3.863062262535095215e-01,-4.695240855216979980e-01,8.802874684333801270e-01,1.163377892225980759e-02,5.771895051002502441e-01,-5.016493797302246094e-01,-6.796131134033203125e-01,-6.945243477821350098e-01,7.424177527427673340e-01,5.236958861351013184e-01,9.428370594978332520e-01,5.778809785842895508e-01,-8.753818869590759277e-01,4.557968080043792725e-01,4.860853552818298340e-01,-8.104581832885742188e-01,7.282488942146301270e-01,7.124741673469543457e-01,1.787280738353729248e-01,6.458863019943237305e-01,-5.287815928459167480e-01,-5.171551704406738281e-01,6.928887367248535156e-01,2.546884715557098389e-01,-6.006423830986022949e-01,5.386777520179748535e-01,1.497019268572330475e-02,6.026381850242614746e-01,-8.981924653053283691e-01,-2.920950055122375488e-01,-9.977813810110092163e-02,-5.933775305747985840e-01,-9.279280900955200195e-02,-4.695097208023071289e-01,-5.579590797424316406e-01,8.124534487724304199e-01,-1.556430310010910034e-01,7.498700618743896484e-01,-3.132096230983734131e-01,5.331543087959289551e-01,-8.784788250923156738e-01,-3.275733292102813721e-01,8.264391422271728516e-01,3.756595253944396973e-01,-3.448599874973297119e-01,-6.307982802391052246e-01,5.603091716766357422e-01,9.438220858573913574e-01,8.223024010658264160e-01,-2.802057862281799316e-01,8.959893584251403809e-01,-2.111097425222396851e-01,5.832710117101669312e-02,7.236618399620056152e-01,-2.403826564550399780e-01,-4.154175519943237305e-03,6.477434039115905762e-01,-3.608666658401489258e-01,-7.727258801460266113e-01,1.659075319766998291e-01,-2.330081611871719360e-01,3.680295646190643311e-01,2.762190103530883789e-01,-2.578519284725189209e-01,4.259285926818847656e-01,-6.366210579872131348e-01,4.628069698810577393e-01,4.543670415878295898e-01,5.060826539993286133e-01,2.769934833049774170e-01,2.450098991394042969e-01,-1.560885608196258545e-01,-1.947896927595138550e-01,3.963699340820312500e-01,5.953039973974227905e-02,-7.158293575048446655e-02,-2.721635401248931885e-01,-9.370436072349548340e-01,7.211492657661437988e-01,8.295499682426452637e-01,-4.260745048522949219e-01,9.157506823539733887e-01,8.938573002815246582e-01,-1.566895544528961182e-01,-9.578924179077148438e-01,-8.935330510139465332e-01,4.713895022869110107e-01,-2.418306097388267517e-02,5.907186269760131836e-01,6.637839078903198242e-01,9.314896464347839355e-01
-6.840528249740600586e-01,9.847955703735351562e-01,-7.911673784255981445e-01,-7.488169670104980469e-01,8.107047677040100098e-01,-7.254701256752014160e-01,5.685573443770408630e-02,-1.235695108771324158e-01,-6.230745315551757812e-01,-5.913751721382141113e-01,8.573646545410156250e-01,9.269450902938842773e-01,-8.091814815998077393e-03,-9.701449871063232422e-01,3.853915929794311523e-01,2.213909626007080078e-01,-7.801799774169921875e-01,2.344145774841308594e-01,-1.345583647489547729e-01,4.912966191768646240e-01,-8.995867520570755005e-02,1.078328862786293030e-01,7.988949418067932129e-01,-6.036675721406936646e-02,6.225625276565551758e-01,-1.084498465061187744e-01,-6.785814464092254639e-02,-2.290276736021041870e-01,-2.366340458393096924e-01,-7.291724085807800293e-01,-6.595038771629333496e-01,-6.159885525703430176e-01,8.587427735328674316e-01,5.300145745277404785e-01,-8.442627191543579102e-01,-1.853802651166915894e-01,7.138780951499938965e-01,-2.749102413654327393e-01,-2.476286143064498901e-01,9.768128991127014160e-01,6.676049828529357910e-01,6.369470357894897461e-01,5.333977341651916504e-01,-9.248554706573486328e-01,3.436303734779357910e-01,1.679228544235229492e-01,-8.191616535186767578e-01,7.675346136093139648e-01,2.386406213045120239e-01,9.677255749702453613e-01,7.681233882904052734e-01,-6.803929209709167480e-01,-9.083189368247985840e-01,-2.756677865982055664e-01,8.892412781715393066e-01,-1.724395155906677246e-01,4.612274467945098877e-01,4.207239449024200439e-01,-2.101051807403564453e-01,3.749715685844421387e-01,9.567944705486297607e-02,7.496263384819030762e-01,8.618690818548202515e-02,5.400930643081665039e-01,-6.260762214660644531e-01,9.763383269309997559e-01,-2.562107518315315247e-02,-7.213991880416870117e-01,-7.247984409332275391e-01,3.209562972187995911e-02,4.477667212486267090e-01,-3.145227432250976562e-01,-4.388705790042877197e-01,6.817110180854797363e-01,2.606274187564849854e-01,4.100943803787231445e-01,6.648321747779846191e-01,-2.789978981018066406e-01,-1.377835273742675781e-01,7.106540799140930176e-01,-3.285853937268257141e-02,-4.387115538120269775e-01,9.665937423706054688e-01,-7.823456525802612305e-01,8.660236597061157227e-01,-1.019032299518585205e-01,-7.907757759094238281e-01,-6.190231442451477051e-01,-6.375212073326110840e-01,6.135925650596618652e-01,-3.358355462551116943e-01,7.070758193731307983e-02,7.969738841056823730e-01,5.166671872138977051e-01,2.169172018766403198e-01,-6.466563344001770020e-01,-9.109771847724914551e-01,-8.522661328315734863e-01,-3.630656898021697998e-01,5.815220996737480164e-02
-4.732827544212341309e-01,-1.579420268535614014e-01,6.834331154823303223e-01,-2.771741151809692383e-01,-3.138808608055114746e-01,-1.252831965684890747e-01,-5.751098990440368652e-01,-4.893303662538528442e-02,-3.949090838432312012e-01,-3.522630333900451660e-01,-4.171352088451385498e-02,-6.354365944862365723e-01,7.691184282302856445e-01,3.755969926714897156e-03,-7.467888593673706055e-01,-5.647363066673278809e-01,-9.304152727127075195e-01,-3.100575208663940430e-01,-5.165395736694335938e-01,-1.376919299364089966e-01,-1.081842258572578430e-01,5.387026071548461914e-01,3.731036186218261719e-01,-4.719528257846832275e-01,-4.054533541202545166e-01,-9.772145748138427734e-01,-7.679496407508850098e-01,9.063857048749923706e-02,5.766485333442687988e-01,9.913693666458129883e-01,-4.971068501472473145e-01,8.201678991317749023e-01,-1.749558746814727783e-01,2.313518375158309937e-01,-2.677144110202789307e-01,9.757626056671142578e-01,-7.588591575622558594e-01,-1.162707526236772537e-02,2.659649848937988281e-01,-1.696323454380035400e-01,8.792433738708496094e-01,7.606548070907592773e-01,6.031010150909423828e-01,-8.668418526649475098e-01,6.735529303550720215e-01,-5.432242155075073242e-01,-1.181321069598197937e-01,5.034831166267395020e-01,1.313061565160751343e-01,1.273549720644950867e-02,-7.202784419059753418e-01,-3.559594750404357910e-01,-3.986745476722717285e-01,4.146606326103210449e-01,-9.488697648048400879e-01,-6.921575069427490234e-01,1.269167512655258179e-01,7.039520144462585449e-01,-2.018200159072875977e-01,-4.748189449310302734e-01,-4.841713905334472656e-01,1.050902679562568665e-01,1.995216310024261475e-01,9.924487471580505371e-01,-1.019575819373130798e-02,-4.469120502471923828e-01,2.301619015634059906e-02,-7.441870570182800293e-01,-8.714346289634704590e-01,-7.418217062950134277e-01,5.385627150535583496e-01,-8.632228970527648926e-01,-3.790922462940216064e-01,-3.741781413555145264e-01,1.719281375408172607e-01,-6.994925141334533691e-01,-3.445519804954528809e-01,8.445394039154052734e-02,-7.094725966453552246e-01,4.096100330352783203e-01,-6.189920306205749512e-01,5.041661858558654785e-01,5.700513124465942383e-01,3.169309496879577637e-01,6.491111516952514648e-01,-4.709775447845458984e-01,-3.558630645275115967e-01,-6.175473332405090332e-01,-7.127886414527893066e-01,8.561018705368041992e-01,2.238249033689498901e-02,-8.037989139556884766e-01,-8.540886044502258301e-01,-8.191778659820556641e-01,-9.756401181221008301e-02,6.639267206192016602e-01,6.212744712829589844e-01,5.034139379858970642e-02,2.888651788234710693e-01,-1.667000204324722290e-01
-7.088239192962646484e-01,7.381312847137451172e-01,-4.376851767301559448e-02,1.956157237291336060e-01,-3.114918470382690430e-01,4.277883470058441162e-01,-8.642277717590332031e-01,5.218557715415954590e-01,1.939370185136795044e-01,3.215666413307189941e-01,7.311070561408996582e-01,-3.249350190162658691e-01,2.588022649288177490e-01,-8.145927190780639648e-01,4.188962578773498535e-01,-6.903107762336730957e-01,-4.271880388259887695e-01,3.757175803184509277e-01,-4.408450424671173096e-01,-2.887094616889953613e-01,2.955065369606018066e-01,-6.999775171279907227e-01,-8.561106920242309570e-01,3.455873727798461914e-01,-6.709319949150085449e-01,-1.272757798433303833e-01,6.216459721326828003e-02,2.429247945547103882e-01,-2.358357310295104980e-01,1.871342658996582031e-01,9.381806850433349609e-01,3.858454525470733643e-01,4.369735717773437500e-01,-5.856117606163024902e-01,-8.410872519016265869e-02,-4.694273769855499268e-01,2.863918058574199677e-02,3.148034512996673584e-01,-5.944355726242065430e-01,-8.361818194389343262e-01,9.103665947914123535e-01,3.779360055923461914e-01,-4.775030910968780518e-01,-4.192242622375488281e-01,-5.348500609397888184e-01,-1.492235809564590454e-01,5.874133110046386719e-01,6.129116415977478027e-01,-4.833286404609680176e-01,-9.605101346969604492e-01,-1.252442896366119385e-01,-6.705868244171142578e-01,-5.366533398628234863e-01,1.800052523612976074e-01,-2.123633325099945068e-01,3.503324985504150391e-01,-3.566351830959320068e-01,5.616165995597839355e-01,-5.425601005554199219e-01,-5.691331028938293457e-01,-4.394689202308654785e-02,-6.679999828338623047e-01,-3.525853157043457031e-01,3.519248962402343750e-01,-7.326337099075317383e-01,5.626928210258483887e-01,6.852605938911437988e-01,7.782293558120727539e-01,-7.596960067749023438e-01,-7.202811837196350098e-01,-8.363484740257263184e-01,6.328883767127990723e-01,7.350348830223083496e-01,-2.339174449443817139e-01,4.074684679508209229e-01,2.139132320880889893e-01,3.618624806404113770e-01,-4.707680344581604004e-01,5.068451166152954102e-01,8.007363677024841309e-01,9.370058774948120117e-01,9.373985528945922852e-01,-6.989912390708923340e-01,9.628570675849914551e-01,9.711430668830871582e-01,-9.501536488533020020e-01,2.602699697017669678e-01,-6.478840708732604980e-01,-4.331160783767700195e-01,-4.608667194843292236e-01,-3.035532236099243164e-01,-6.634592264890670776e-02,-5.592040419578552246e-01,-4.322299957275390625e-01,-7.020704150199890137e-01,2.727301418781280518e-01,8.896425366401672363e-01,6.822612881660461426e-01,5.219817534089088440e-02,-9.974562525749206543e-01
-6.277418732643127441e-01,1.780891716480255127e-01,-1.113810092210769653e-01,-8.973369747400283813e-02,1.824255138635635376e-01,7.533820271492004395e-01,3.855942189693450928e-01,3.663602769374847412e-01,-9.959852695465087891e-01,4.369577467441558838e-01,3.167433142662048340e-01,4.255368113517761230e-01,-6.173718348145484924e-02,-8.524926304817199707e-01,-8.856659531593322754e-01,-4.760251939296722412e-01,3.463948965072631836e-01,-2.988022863864898682e-01,9.966538548469543457e-01,3.096766769886016846e-01,-7.467957735061645508e-01,-9.914115667343139648e-01,-7.170773148536682129e-01,-3.722376227378845215e-01,1.315014958381652832e-01,-9.430754780769348145e-01,-6.771432757377624512e-01,-6.283065676689147949e-01,-9.061368703842163086e-01,-9.523750543594360352e-01,1.520292460918426514e-01,-2.668663859367370605e-02,-9.120988249778747559e-01,-7.556635141372680664e-01,-8.340920805931091309e-01,-3.507078066468238831e-02,1.371723562479019165e-01,2.141130566596984863e-01,-2.097781598567962646e-01,9.727225303649902344e-01,4.149079024791717529e-01,5.364617109298706055e-01,4.598651230335235596e-01,7.490092515945434570e-01,-1.219104081392288208e-01,5.680412054061889648e-02,-7.285348773002624512e-01,-8.410348296165466309e-01,6.321811676025390625e-01,-7.899864315986633301e-01,-5.992556810379028320e-01,8.431596755981445312e-01,9.804700016975402832e-01,1.826433092355728149e-01,-3.059721924364566803e-02,9.534556865692138672e-01,-6.657842546701431274e-02,-8.753266930580139160e-01,-2.685731053352355957e-01,-2.007545977830886841e-01,-1.862061768770217896e-01,-2.097706943750381470e-01,-5.086975693702697754e-01,-2.577068470418453217e-02,-8.034628033638000488e-01,9.603983163833618164e-01,-3.046835064888000488e-01,-5.789304375648498535e-01,-8.622358441352844238e-01,1.003744900226593018e-01,3.532380163669586182e-01,-9.404587149620056152e-01,5.989531874656677246e-01,9.669057130813598633e-01,-1.845006048679351807e-01,-8.914471268653869629e-01,-3.349519968032836914e-01,5.681451559066772461e-01,-9.773659706115722656e-01,-1.980151236057281494e-01,-1.215887814760208130e-01,-4.817506670951843262e-01,-5.431922078132629395e-01,1.765210628509521484e-01,1.990107595920562744e-01,-2.737697660923004150e-01,4.671079218387603760e-01,-9.046720862388610840e-01,2.167999185621738434e-02,5.477877855300903320e-01,1.515574753284454346e-01,2.160323709249496460e-01,5.171352028846740723e-01,-4.122353494167327881e-01,-5.326568707823753357e-02,8.409891724586486816e-01,-6.360072642564773560e-02,-1.378185003995895386e-01,4.146276414394378662e-01,3.167740106582641602e-01
