level_equivalent_diameter,level_major_axis_length,level_minor_axis_length,level_solidity,nodes,distmap-skew,distmap-kurt
3.455862808227539062e+01,3.960630798339843750e+01,3.278472518920898438e+01,7.516025900840759277e-01,9.000000000000000000e+00,7.574772834777832031e-01,-3.108733296394348145e-01
5.937676620483398438e+01,9.548507690429687500e+01,6.480584716796875000e+01,5.987027287483215332e-01,2.100000000000000000e+01,1.056628584861755371e+00,6.835181117057800293e-01
6.876635742187500000e+01,8.279949951171875000e+01,6.767785644531250000e+01,7.321111559867858887e-01,1.800000000000000000e+01,7.753372192382812500e-01,-3.002316057682037354e-01
1.010009689331054688e+02,1.207678909301757812e+02,9.305452728271484375e+01,7.913867831230163574e-01,1.200000000000000000e+01,6.130843758583068848e-01,-6.391269564628601074e-01
2.847900199890136719e+01,4.259913253784179688e+01,2.472427558898925781e+01,6.601036190986633301e-01,4.000000000000000000e+00,9.806230664253234863e-01,2.497743964195251465e-01
1.060856475830078125e+02,1.345734405517578125e+02,1.203633956909179688e+02,6.579084396362304688e-01,7.900000000000000000e+01,1.154103279113769531e+00,7.422400712966918945e-01
6.104729461669921875e+01,7.069089508056640625e+01,6.106231689453125000e+01,7.716847062110900879e-01,2.300000000000000000e+01,1.158656716346740723e+00,7.217391133308410645e-01
6.048154449462890625e+01,8.077869415283203125e+01,7.022863006591796875e+01,4.596064686775207520e-01,3.700000000000000000e+01,1.134414196014404297e+00,1.284189224243164062e+00
7.548342132568359375e+01,9.849294281005859375e+01,8.447744750976562500e+01,5.814709067344665527e-01,3.600000000000000000e+01,9.306008815765380859e-01,3.504005968570709229e-01
9.234113311767578125e+01,1.377639617919921875e+02,1.011151733398437500e+02,5.849419236183166504e-01,4.900000000000000000e+01,8.565252423286437988e-01,7.614406198263168335e-02
2.612386703491210938e+01,8.514744567871093750e+01,3.890971755981445312e+01,2.712550461292266846e-01,8.000000000000000000e+00,6.000236868858337402e-01,-7.672146558761596680e-01
5.268455505371093750e+01,7.177377319335937500e+01,6.028411483764648438e+01,5.796330571174621582e-01,3.500000000000000000e+01,7.110669612884521484e-01,-2.462685704231262207e-01
