z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99
-4.300335645675659180e-01,-1.858816295862197876e-01,-1.092659756541252136e-01,-4.025537073612213135e-01,-9.438176155090332031e-01,3.875486254692077637e-01,-2.998586893081665039e-01,6.853803396224975586e-01,6.140053868293762207e-01,2.701821029186248779e-01,9.848051667213439941e-01,-8.563488125801086426e-01,9.613291621208190918e-01,1.267409026622772217e-01,-7.055440545082092285e-01,-8.393369913101196289e-01,-6.420710682868957520e-01,-1.794925034046173096e-01,8.498179912567138672e-01,-9.448284506797790527e-01,2.938118577003479004e-01,-6.738080382347106934e-01,5.047727227210998535e-01,2.319144010543823242e-01,-9.068987965583801270e-01,9.919312596321105957e-01,-8.021057844161987305e-01,-4.585973322391510010e-01,1.587317883968353271e-01,4.842873513698577881e-01,-2.931902185082435608e-02,1.379993855953216553e-01,5.632817149162292480e-01,-4.293783903121948242e-01,-6.632835865020751953e-01,-4.215881824493408203e-01,-5.761362910270690918e-01,-1.207559183239936829e-01,1.737228035926818848e-01,-6.527850627899169922e-01,7.232603430747985840e-01,-4.696666300296783447e-01,6.752281188964843750e-01,-6.742112636566162109e-01,-8.856453299522399902e-01,-6.165592074394226074e-01,9.319395422935485840e-01,8.913510441780090332e-01,-9.410535097122192383e-01,-3.465465903282165527e-01,-5.854451060295104980e-01,2.454882115125656128e-01,-6.100264787673950195e-01,5.682826042175292969e-01,4.878385365009307861e-01,5.996881127357482910e-01,5.760981440544128418e-01,-7.457669377326965332e-01,-3.510369360446929932e-01,-9.256913065910339355e-01,-5.255143642425537109e-01,-4.689364731311798096e-01,1.351454854011535645e-01,-1.622005403041839600e-01,8.928676843643188477e-01,3.402214050292968750e-01,5.502475500106811523e-01,4.545359611511230469e-01,-7.298630475997924805e-01,4.186490923166275024e-02,9.194702655076980591e-02,5.141745209693908691e-01,-7.556532621383666992e-01,4.026054441928863525e-01,5.547583103179931641e-01,9.301902055740356445e-01,-2.623962461948394775e-01,4.692379832267761230e-01,4.800772964954376221e-01,6.465511918067932129e-01,2.213262915611267090e-01,-1.749618947505950928e-01,9.517415165901184082e-01,4.238171279430389404e-01,-4.194276779890060425e-02,7.403692007064819336e-01,-7.707422971725463867e-01,3.711995109915733337e-02,6.568156480789184570e-01,7.857964038848876953e-01,-2.813138067722320557e-01,-8.897317051887512207e-01,-7.767419815063476562e-01,-4.398532509803771973e-01,8.736553192138671875e-01,-4.023635089397430420e-01,2.829450070858001709e-01,-5.738214254379272461e-01,-6.876636147499084473e-01,2.106630802154541016e-01
5.066255331039428711e-01,-6.174660921096801758e-01,4.458930790424346924e-01,-1.469180136919021606e-01,-1.955359727144241333e-01,-7.231512665748596191e-01,8.041849732398986816e-01,-7.335382048040628433e-03,-3.949080109596252441e-01,4.517500698566436768e-01,3.432980775833129883e-01,-4.354999363422393799e-01,6.888339519500732422e-01,5.977518558502197266e-01,-2.153253257274627686e-01,3.905865550041198730e-01,8.898664712905883789e-01,-2.806290388107299805e-01,5.696117281913757324e-01,3.750670850276947021e-01,-3.953652083873748779e-01,-2.101718485355377197e-01,2.634084820747375488e-01,-1.633360683917999268e-01,-8.790492415428161621e-01,4.700796902179718018e-01,-8.991466164588928223e-01,-9.515736103057861328e-01,9.861185550689697266e-01,-4.256306290626525879e-01,1.065320521593093872e-01,-8.000140190124511719e-01,5.315015316009521484e-01,3.576070070266723633e-01,-1.267531663179397583e-01,-7.668006420135498047e-01,1.451780796051025391e-01,-1.669377833604812622e-01,-9.309764504432678223e-01,-1.683753430843353271e-01,-6.684786081314086914e-01,-3.006853163242340088e-01,-1.427318621426820755e-02,-6.538664102554321289e-01,-5.320226550102233887e-01,-7.592155933380126953e-01,5.257921814918518066e-01,9.938451051712036133e-01,7.746157050132751465e-01,8.507630228996276855e-01,-2.494985908269882202e-01,-7.005927562713623047e-01,-6.643491983413696289e-01,-1.089864224195480347e-01,2.789370715618133545e-01,-9.001545906066894531e-01,9.810822010040283203e-01,8.918663859367370605e-01,-6.214599683880805969e-02,2.622505128383636475e-01,-9.015566110610961914e-01,9.786792099475860596e-02,-8.048856854438781738e-01,5.673430562019348145e-01,-5.907589793205261230e-01,-4.490098655223846436e-01,-1.273685395717620850e-01,7.694711536169052124e-02,2.228482067584991455e-01,-3.080373108386993408e-01,-6.180712580680847168e-01,-2.215862721204757690e-01,-5.794369578361511230e-01,-4.576771557331085205e-01,4.186185300350189209e-01,-4.447182416915893555e-01,1.495314296334981918e-02,5.514934062957763672e-01,-7.210236191749572754e-01,5.106009840965270996e-01,-1.119588986039161682e-01,8.948242068290710449e-01,-4.740791618824005127e-01,3.835122883319854736e-01,8.510987758636474609e-01,-6.557080745697021484e-01,1.188655421137809753e-01,-6.301021575927734375e-01,1.439776533516123891e-04,-6.188315153121948242e-01,-7.743757963180541992e-01,2.377114295959472656e-01,-6.719915866851806641e-01,8.879334926605224609e-01,-2.920944988727569580e-01,-7.871310710906982422e-01,5.625602602958679199e-02,7.228673696517944336e-01,-2.809398472309112549e-01,3.153364658355712891e-01
-2.563541233539581299e-01,6.452282518148422241e-02,7.918997406959533691e-01,-9.429607540369033813e-02,-5.669550299644470215e-01,-2.796963974833488464e-02,-6.845815181732177734e-01,-7.084066867828369141e-01,4.989908039569854736e-01,7.460117340087890625e-01,-7.375402450561523438e-01,3.920599073171615601e-02,3.199554383754730225e-01,4.366100728511810303e-01,3.453575670719146729e-01,-3.705841004848480225e-01,4.951554536819458008e-02,4.524588584899902344e-01,3.774352669715881348e-01,1.082670241594314575e-01,8.314719796180725098e-01,7.877212166786193848e-01,-2.974756062030792236e-01,-7.161481380462646484e-01,-5.859655141830444336e-01,5.277330055832862854e-02,1.519525796175003052e-01,1.774648129940032959e-01,-8.181030750274658203e-01,-5.164791941642761230e-01,-5.611210465431213379e-01,3.164195716381072998e-01,-2.971827089786529541e-01,-1.457407623529434204e-01,2.554493248462677002e-01,3.844589460641145706e-03,-9.511526823043823242e-01,-4.978069067001342773e-01,-9.818589091300964355e-01,-9.613074660301208496e-01,8.783642053604125977e-01,-1.309780329465866089e-01,2.896743118762969971e-01,-4.695198535919189453e-01,5.290032029151916504e-01,1.539713740348815918e-01,-2.709943354129791260e-01,-8.483772873878479004e-01,2.334481477737426758e-01,7.528028488159179688e-01,4.649396836757659912e-01,5.278564691543579102e-01,7.732425332069396973e-01,-5.578082054853439331e-02,7.580294609069824219e-01,7.765648365020751953e-01,6.386095881462097168e-01,8.348757028579711914e-01,7.179569005966186523e-01,7.359894514083862305e-01,6.756184101104736328e-01,-2.316746264696121216e-01,2.517475560307502747e-02,6.347244977951049805e-01,4.307637810707092285e-01,2.226319462060928345e-01,-7.626184225082397461e-01,5.994369387626647949e-01,1.248817294836044312e-01,-5.782234072685241699e-01,-5.617651939392089844e-01,3.667321801185607910e-01,-3.818257749080657959e-01,-7.446359992027282715e-01,-8.102043271064758301e-01,-4.620136022567749023e-01,-6.155244112014770508e-01,3.200421929359436035e-01,-8.973359465599060059e-01,-7.338483333587646484e-01,-6.888880729675292969e-01,-2.066273009404540062e-03,9.649002552032470703e-01,2.977874279022216797e-01,8.653664588928222656e-02,4.022824168205261230e-01,6.265012919902801514e-02,-7.006170749664306641e-01,-3.186505436897277832e-01,8.807967305183410645e-01,5.073603391647338867e-01,-5.610311031341552734e-01,-6.348320245742797852e-01,9.214163422584533691e-01,-7.837502956390380859e-01,9.855552315711975098e-01,-4.197026789188385010e-01,1.523045003414154053e-01,-2.914212942123413086e-01,-7.094563841819763184e-01
-3.452609181404113770e-01,-3.816881775856018066e-01,4.650600850582122803e-01,9.874148964881896973e-01,8.888824582099914551e-01,7.434625029563903809e-01,-6.160083413124084473e-01,-5.479314327239990234e-01,-8.286828994750976562e-01,-1.159449070692062378e-01,4.299736022949218750e-01,-9.484528303146362305e-01,-1.933809965848922729e-01,7.892073988914489746e-01,-2.999556809663772583e-02,-1.307258307933807373e-01,6.440662741661071777e-01,2.018187940120697021e-02,6.973215937614440918e-01,-6.166079640388488770e-01,9.812402129173278809e-01,-2.547367811203002930e-01,4.358679950237274170e-01,-4.387698471546173096e-01,2.886272072792053223e-01,5.447071045637130737e-02,-7.389611005783081055e-01,-6.824912428855895996e-01,-2.423081845045089722e-01,-5.228783488273620605e-01,-9.871146082878112793e-01,7.250981330871582031e-01,7.365872859954833984e-01,-9.817544370889663696e-02,-5.668945908546447754e-01,6.229954361915588379e-01,2.510177791118621826e-01,7.744553685188293457e-01,4.190121591091156006e-01,3.474305570125579834e-01,-3.786632120609283447e-01,-7.301822900772094727e-01,-1.091615259647369385e-01,4.498711824417114258e-01,-9.502667784690856934e-01,6.503870487213134766e-01,1.325956135988235474e-01,5.687634348869323730e-01,-1.004865989089012146e-01,9.478917717933654785e-01,-2.888619005680084229e-01,5.231960415840148926e-01,3.840239346027374268e-01,6.395053267478942871e-01,7.856111973524093628e-02,-3.527235984802246094e-01,1.291467845439910889e-01,7.338550090789794922e-01,6.108064055442810059e-01,-5.907958745956420898e-01,-6.052469611167907715e-01,4.847374260425567627e-01,9.990946054458618164e-01,-8.400186896324157715e-02,-1.053590774536132812e-01,-8.658029139041900635e-02,5.254697203636169434e-01,-1.967751532793045044e-01,-3.894223570823669434e-01,-1.999515295028686523e-02,8.411547541618347168e-02,-1.331655681133270264e-02,9.014694690704345703e-01,7.142141461372375488e-01,-9.192613959312438965e-01,1.278694272041320801e-01,-3.738892376422882080e-01,7.592925429344177246e-01,-4.341327399015426636e-02,-2.439634799957275391e-01,-5.976666808128356934e-01,-1.087554916739463806e-01,-8.523687720298767090e-01,-5.157082676887512207e-01,2.154142707586288452e-01,-2.362117916345596313e-01,-9.738699197769165039e-01,7.051760554313659668e-01,-5.065187811851501465e-01,-4.522877931594848633e-01,-2.230410724878311157e-01,-9.375412464141845703e-01,-9.375898241996765137e-01,3.814019858837127686e-01,-5.960378646850585938e-01,9.794896841049194336e-01,-4.686228036880493164e-01,-1.292171776294708252e-01,-8.035102486610412598e-01,-1.347139030694961548e-01
1.451673209667205811e-01,9.176304936408996582e-01,5.742032527923583984e-01,4.044408202171325684e-01,1.978566348552703857e-01,-9.609381556510925293e-01,5.915927290916442871e-01,6.705057024955749512e-01,4.027034044265747070e-01,1.938236653804779053e-01,7.560579776763916016e-01,-8.889021277427673340e-01,9.024245738983154297e-01,6.766462922096252441e-01,1.233201920986175537e-01,3.064101636409759521e-01,-5.127116441726684570e-01,8.168387413024902344e-01,5.305535197257995605e-01,-5.098840221762657166e-02,-2.328381240367889404e-01,9.810533523559570312e-01,4.099379852414131165e-02,-5.694574117660522461e-01,-6.910223364830017090e-01,2.795040607452392578e-01,-9.536150693893432617e-01,-5.007545351982116699e-01,-3.864172995090484619e-01,-1.736320257186889648e-01,-5.866941213607788086e-01,7.416132092475891113e-01,-8.476719856262207031e-01,-2.528132796287536621e-01,-1.196971610188484192e-01,5.318113788962364197e-02,-2.875079810619354248e-01,-9.416134357452392578e-01,6.889287233352661133e-01,-6.533691287040710449e-01,2.215151041746139526e-01,2.369404435157775879e-01,-8.303534388542175293e-01,2.212868928909301758e-01,3.127703964710235596e-01,-2.376357652246952057e-02,-4.911580979824066162e-01,-3.312260806560516357e-01,4.512554705142974854e-01,5.333142280578613281e-01,-3.947554826736450195e-01,-6.162298470735549927e-02,-7.785260081291198730e-01,-3.398470580577850342e-01,4.818108379840850830e-01,3.854921162128448486e-01,1.877034008502960205e-01,3.906933963298797607e-01,-1.383988112211227417e-01,7.219094634056091309e-01,6.642650961875915527e-01,-2.973044216632843018e-01,-5.439426898956298828e-01,-4.580661654472351074e-01,9.756960272789001465e-01,3.175867497920989990e-01,-7.439606785774230957e-01,6.147863268852233887e-01,7.299799323081970215e-01,-4.401991367340087891e-01,6.769324541091918945e-01,5.879794359207153320e-01,-8.273974657058715820e-01,5.061717033386230469e-01,6.199251413345336914e-01,1.995982527732849121e-01,-4.515623450279235840e-01,-8.507676720619201660e-01,-5.994643568992614746e-01,-6.997281908988952637e-01,1.280711591243743896e-01,9.555671811103820801e-01,-4.766798913478851318e-01,7.769360542297363281e-01,-6.221120953559875488e-01,7.757658362388610840e-01,8.049650192260742188e-01,-5.797992944717407227e-01,8.724692463874816895e-01,-1.606886237859725952e-01,-8.551973104476928711e-01,2.918759286403656006e-01,-1.274487674236297607e-01,9.351842999458312988e-01,-2.265205532312393188e-01,7.724723815917968750e-01,-1.913056820631027222e-01,4.831117093563079834e-01,-7.451741099357604980e-01,-1.764493584632873535e-01
-8.429539203643798828e-01,5.900363922119140625e-01,-5.065795183181762695e-01,-7.966464757919311523e-02,-9.933917224407196045e-02,1.531120538711547852e-01,2.293866127729415894e-02,-9.599972963333129883e-01,2.015265375375747681e-01,-5.239666700363159180e-01,-7.109371423721313477e-01,-2.161531001329421997e-01,-9.124647378921508789e-01,8.856527507305145264e-02,-1.546217352151870728e-01,-9.161811321973800659e-02,3.015318810939788818e-01,-7.773860543966293335e-02,6.397706270217895508e-01,4.201901853084564209e-01,-7.528201937675476074e-01,6.303222179412841797e-01,-1.540118008852005005e-01,8.218467235565185547e-01,1.756773144006729126e-01,2.287341505289077759e-01,4.245925843715667725e-01,-8.224930167198181152e-01,1.800258606672286987e-01,-6.961722373962402344e-01,4.482297301292419434e-01,-7.547643780708312988e-01,1.369386017322540283e-01,8.350307345390319824e-01,-4.229715466499328613e-01,-6.777400374412536621e-01,3.145417273044586182e-01,-2.013855576515197754e-01,3.687718808650970459e-01,-2.940497398376464844e-01,-8.104633688926696777e-01,5.328136086463928223e-01,6.392508745193481445e-01,6.057125926017761230e-01,8.772928118705749512e-01,2.397218048572540283e-01,-5.538046360015869141e-01,1.137084662914276123e-01,8.505843877792358398e-01,-8.087993413209915161e-02,5.296325683593750000e-01,4.698222279548645020e-01,-3.310442864894866943e-01,-2.476835995912551880e-01,-2.242407202720642090e-01,9.802064299583435059e-01,-5.497601032257080078e-01,-1.586036533117294312e-01,4.459952116012573242e-01,8.426899462938308716e-02,-3.903929591178894043e-01,-9.050202965736389160e-01,-3.525123000144958496e-01,-1.119145303964614868e-01,3.093680441379547119e-01,-3.916077017784118652e-01,-4.905117452144622803e-01,-1.639477014541625977e-01,6.156679391860961914e-01,-5.487445592880249023e-01,-6.806328892707824707e-01,5.093116685748100281e-02,-9.521259665489196777e-01,8.366215229034423828e-01,2.259717583656311035e-01,5.237534046173095703e-01,1.355883330106735229e-01,3.583068847656250000e-01,9.511564373970031738e-01,-2.969536185264587402e-01,7.864179015159606934e-01,-6.672028303146362305e-01,-6.331521272659301758e-01,-5.055657625198364258e-01,-5.352065339684486389e-02,9.164771437644958496e-01,-3.654303252696990967e-01,-2.036909312009811401e-01,-4.863225817680358887e-01,5.639136433601379395e-01,-9.144577980041503906e-01,8.273482918739318848e-01,6.806545853614807129e-01,-5.241337418556213379e-01,2.229289114475250244e-01,-8.284813165664672852e-01,-4.294005930423736572e-01,-9.787771105766296387e-01,1.100971624255180359e-01,-7.277860045433044434e-01
-5.226622223854064941e-01,4.504181146621704102e-01,-4.457456171512603760e-01,5.175734758377075195e-01,-5.166312456130981445e-01,-5.904458761215209961e-01,8.777073025703430176e-01,-4.085341691970825195e-01,4.749408066272735596e-01,-8.875816464424133301e-01,-3.444375395774841309e-01,-7.400339841842651367e-01,-1.527230441570281982e-01,7.269869446754455566e-01,-7.101094722747802734e-01,9.441568851470947266e-01,9.567731022834777832e-01,4.337377548217773438e-01,4.647170901298522949e-01,8.837857246398925781e-01,4.769389927387237549e-01,-3.425817787647247314e-01,-3.198100952431559563e-03,-3.209519386291503906e-01,4.107342660427093506e-01,1.179199516773223877e-01,8.759692311286926270e-01,-5.465825796127319336e-01,7.843521833419799805e-01,7.329912781715393066e-01,-3.189249932765960693e-01,5.159346461296081543e-01,-1.594166010618209839e-01,-3.204596638679504395e-01,2.131630480289459229e-01,3.565203547477722168e-01,8.122702836990356445e-01,-9.414952397346496582e-01,9.223017096519470215e-01,4.257759749889373779e-01,1.254138201475143433e-01,-8.387241512537002563e-02,1.597171276807785034e-01,-9.679563045501708984e-01,1.112551465630531311e-01,-5.670918226242065430e-01,6.781238317489624023e-01,3.776282966136932373e-01,9.148054718971252441e-01,8.370094895362854004e-01,-1.721295900642871857e-02,-5.854628086090087891e-01,-1.600756794214248657e-01,8.578957915306091309e-01,8.223890066146850586e-01,-9.228338003158569336e-01,5.893413424491882324e-01,7.443993687629699707e-01,-7.373486161231994629e-01,7.226129174232482910e-01,-5.937158465385437012e-01,2.572197318077087402e-01,-2.169898748397827148e-01,8.661035299301147461e-01,4.871610552072525024e-03,-8.905323147773742676e-01,6.802226305007934570e-01,9.280874729156494141e-01,8.273909091949462891e-01,-8.027839660644531250e-01,-2.946409881114959717e-01,-5.398839712142944336e-01,-3.751219809055328369e-01,5.038563609123229980e-01,-4.701081812381744385e-01,9.261267185211181641e-01,-5.100472569465637207e-01,-1.174626275897026062e-01,-9.589655399322509766e-01,-8.881794810295104980e-01,-3.277351558208465576e-01,-8.731434941291809082e-01,1.522058099508285522e-01,-9.498369693756103516e-01,1.978308707475662231e-02,1.095465570688247681e-01,-5.895504727959632874e-02,7.003986835479736328e-01,-3.157449066638946533e-01,7.465698719024658203e-01,-3.008850216865539551e-01,-4.084444046020507812e-01,6.906539201736450195e-01,-2.942188382148742676e-01,8.212139010429382324e-01,-8.158271312713623047e-01,3.449951708316802979e-01,-2.273923009634017944e-01,-2.137809395790100098e-01,3.960655331611633301e-01
-7.354742884635925293e-01,-7.393233776092529297e-01,7.782512307167053223e-01,-6.174262166023254395e-01,-2.631784677505493164e-01,-3.370378017425537109e-01,-1.927823722362518311e-01,-9.091751575469970703e-01,-7.068207263946533203e-01,-3.146307170391082764e-01,6.887093782424926758e-01,-4.295725524425506592e-01,8.418873548507690430e-01,2.136295288801193237e-01,3.038257360458374023e-01,9.562340974807739258e-01,3.768878877162933350e-01,-4.506598711013793945e-01,-3.440683186054229736e-01,6.487745642662048340e-01,9.841091036796569824e-01,-1.784757524728775024e-01,8.160858154296875000e-01,7.834972143173217773e-01,5.627133846282958984e-01,6.011070609092712402e-01,8.338502049446105957e-01,1.369805634021759033e-01,5.375414341688156128e-02,9.557107686996459961e-01,9.524171948432922363e-01,2.377945035696029663e-01,8.269892930984497070e-01,8.786907792091369629e-01,8.206490874290466309e-01,7.141321301460266113e-01,-3.972811102867126465e-01,4.710198342800140381e-01,9.656172990798950195e-01,7.358076572418212891e-01,-2.233142107725143433e-01,3.573583066463470459e-01,-6.156513094902038574e-01,-8.065028786659240723e-01,8.702089190483093262e-01,8.351308703422546387e-01,-6.726683378219604492e-01,-8.835445344448089600e-02,4.857275485992431641e-01,-7.720509171485900879e-01,4.696559906005859375e-01,-1.536122262477874756e-01,7.130670547485351562e-01,-4.398010969161987305e-01,-4.680857658386230469e-01,-3.706071674823760986e-01,8.717314898967742920e-02,-5.289956331253051758e-01,8.469485640525817871e-01,-8.452823758125305176e-01,-4.812465608119964600e-01,-2.729190587997436523e-01,8.655350208282470703e-01,3.396287858486175537e-01,1.812316179275512695e-01,-1.144615411758422852e-01,4.174023121595382690e-02,-4.015107154846191406e-01,-7.060816884040832520e-01,-2.586199641227722168e-01,-4.950555860996246338e-01,6.557645797729492188e-01,-2.891789972782135010e-01,-2.665436267852783203e-01,5.101100802421569824e-01,-9.273390173912048340e-01,-6.501763463020324707e-01,4.342404305934906006e-01,4.560261964797973633e-02,4.078596234321594238e-01,-5.514270663261413574e-01,8.614044785499572754e-01,5.804939866065979004e-01,5.562721490859985352e-01,5.423930287361145020e-01,1.506416797637939453e-01,-5.027202367782592773e-01,-1.535379588603973389e-01,7.889634370803833008e-01,-6.008406877517700195e-01,-3.086613118648529053e-01,4.563083350658416748e-01,1.565383076667785645e-01,3.339621126651763916e-01,-6.447064876556396484e-01,6.741178631782531738e-01,9.515457153320312500e-01,4.122978448867797852e-01,-5.400987267494201660e-01,-1.179195120930671692e-01
5.653299093246459961e-01,9.130683727562427521e-03,3.198930919170379639e-01,8.326472043991088867e-01,9.233577251434326172e-01,1.042782068252563477e-01,5.604395270347595215e-01,4.681827723979949951e-01,-5.008870363235473633e-01,2.944978512823581696e-02,1.689771711826324463e-01,8.872216939926147461e-01,-1.528796851634979248e-01,-1.845161318778991699e-01,-1.264295428991317749e-01,-1.766064614057540894e-01,-3.192436099052429199e-01,-6.279922127723693848e-01,-5.653750151395797729e-02,-3.806140720844268799e-01,-8.517053723335266113e-01,2.316109389066696167e-01,-2.573724277317523956e-02,8.730891942977905273e-01,-4.675595089793205261e-02,5.802620649337768555e-01,9.921043515205383301e-01,9.322692155838012695e-01,1.605554856359958649e-02,8.781848549842834473e-01,2.758546173572540283e-01,-2.899432182312011719e-01,3.200881779193878174e-01,-8.783031105995178223e-01,1.829669922590255737e-01,-2.872110307216644287e-01,-1.098380191251635551e-03,-1.143914163112640381e-01,4.443065822124481201e-01,1.160432696342468262e-01,-6.787871718406677246e-01,-8.859979510307312012e-01,-8.087190985679626465e-01,-2.317089140415191650e-01,8.222787380218505859e-01,8.473624587059020996e-01,7.341522574424743652e-01,5.652467012405395508e-01,4.784313142299652100e-01,8.652122020721435547e-01,-6.370889544486999512e-01,-7.491427659988403320e-01,1.763019859790802002e-01,8.166664093732833862e-02,-4.478731155395507812e-01,5.857781171798706055e-01,9.856411814689636230e-01,3.102924525737762451e-01,-3.337196111679077148e-01,-8.077539801597595215e-01,-6.611325144767761230e-01,6.208743900060653687e-02,7.354441881179809570e-01,-4.888679981231689453e-01,1.348083764314651489e-01,-8.992977738380432129e-01,4.593577682971954346e-01,-7.187710702419281006e-02,-6.778196096420288086e-01,-9.126529097557067871e-01,-3.083541393280029297e-01,7.342822551727294922e-01,9.205475449562072754e-01,-6.774447560310363770e-01,-4.718237221240997314e-01,-1.196709424257278442e-01,5.491530299186706543e-01,2.280844599008560181e-01,6.767177581787109375e-01,9.806652367115020752e-02,1.108868122100830078e-01,-2.218859791755676270e-01,5.320753455162048340e-01,5.136163234710693359e-01,-7.157278656959533691e-01,3.715218603610992432e-01,6.534634828567504883e-01,4.865704774856567383e-01,-7.748523354530334473e-01,-8.893188834190368652e-01,5.024639517068862915e-02,9.766592383384704590e-01,9.714132547378540039e-01,-9.814308881759643555e-01,9.600583463907241821e-03,4.263591170310974121e-01,-3.094865679740905762e-01,-2.861036956310272217e-01,5.298324227333068848e-01,1.347183585166931152e-01
-5.610942840576171875e-02,-1.191648840904235840e-01,3.730803132057189941e-01,-5.466946959495544434e-01,3.475070595741271973e-01,8.829075098037719727e-02,4.097743034362792969e-01,-5.820101499557495117e-01,-1.838862001895904541e-01,5.870078802108764648e-01,4.726973474025726318e-01,8.378695845603942871e-01,-9.390075802803039551e-01,4.725821614265441895e-01,-6.023684144020080566e-01,-8.707197904586791992e-01,-7.695690393447875977e-01,2.157580554485321045e-01,5.486319065093994141e-01,6.875079274177551270e-01,7.136567831039428711e-01,2.436581552028656006e-01,9.075054526329040527e-01,-8.835930824279785156e-01,-3.920158147811889648e-01,2.909845709800720215e-01,-5.089945793151855469e-01,-7.311139702796936035e-01,-8.919558674097061157e-02,5.703238770365715027e-02,-4.976212382316589355e-01,-3.056933283805847168e-01,-2.387897372245788574e-01,-3.208867311477661133e-01,-6.501263976097106934e-01,-3.721471130847930908e-01,-7.180424779653549194e-02,5.191919859498739243e-03,-5.472620725631713867e-01,9.485643506050109863e-01,2.343573123216629028e-01,-3.107065260410308838e-01,-1.676958799362182617e-02,-7.797113060951232910e-01,-4.582689702510833740e-01,-3.920313119888305664e-01,-2.252449095249176025e-01,-9.700601696968078613e-01,4.159007370471954346e-01,6.658850312232971191e-01,-8.992911577224731445e-01,-9.231989383697509766e-01,3.063910603523254395e-01,-9.262654185295104980e-01,6.426960825920104980e-01,-9.693053960800170898e-01,-7.537850737571716309e-01,-7.174114584922790527e-01,9.705462455749511719e-01,2.276936322450637817e-01,2.372406423091888428e-01,-1.418645232915878296e-01,-5.771445631980895996e-01,5.929154753684997559e-01,7.735637426376342773e-01,1.802515238523483276e-01,3.879372179508209229e-01,1.428730636835098267e-01,1.498434785753488541e-02,-6.067919135093688965e-01,-5.602107048034667969e-01,-8.305972814559936523e-01,-5.267554521560668945e-01,-6.405262947082519531e-01,3.262220323085784912e-01,-5.470091104507446289e-01,-1.944294869899749756e-01,5.737526416778564453e-01,7.699257135391235352e-01,9.424411058425903320e-01,-5.863669514656066895e-01,8.388979434967041016e-01,2.955089509487152100e-01,1.391987595707178116e-02,7.118935585021972656e-01,7.608265280723571777e-01,-9.373918175697326660e-01,8.363047838211059570e-01,4.622859358787536621e-01,-6.292454153299331665e-02,3.350031673908233643e-01,-3.091062009334564209e-01,1.781105399131774902e-01,-8.432437181472778320e-01,9.926164150238037109e-01,-2.312159985303878784e-01,-5.968212485313415527e-01,4.200080931186676025e-01,-4.108605086803436279e-01,7.209116220474243164e-02
