author,description,credits,base,editor_used,bugs,build_time,rating_value,rating_count,page_visits,downloads,creation_date,file_url,game,category,title,name,path,svg_path,tile_path
Jeff Tunink,difficult map for 1 player,myself only at this time,New Level,Doom Construction Kit. I used 2.2 zennode 0.98a,no problems,,2,11,155,37,2016-05-26,https://www.doomworld.com/files/file/18449-1stpdie/?do=download&csrfKey=6c6472a9d148bcb146b840306d72903c,Doom,0-9,1stpdie ,1stpdie.zip,./WADs/Doom/Original/1stpdie_1STPDIE.WAD,./WADs/Doom/Processed - Vectorized/1stpdie_1STPDIE_E1M1.svg,./WADs/Doom/Processed/1stpdie_1STPDIE_E1M1.txt
Jay 'Jayextee' Townsend,"Capellan on the Doomworld forums had this neat project idea; to make maps in 100 lines, or less. I thought this was so cool, and made about seven maps for it. Then I thought to myself ""why not make my own episode of the things?"" Nine maps with less than 100 lines each, hence '900 Deep in the Dead'. This is quite the experimental wad. As such, many of the levels are shorter than you'd usually expect, more linear and without the kind of elaborately-crafted ambushes we know and love. Nonetheless, I hope there's something here you can enjoy. :)",Id Software for Doom,New Levels,,None known.,Between two and four hours per map.,3.6,27,70,57,2013-07-28,https://www.doomworld.com/files/file/17287-900-deep-in-the-dead/?do=download&csrfKey=b701a441ae0737d9df8ee781da7a5241,Doom,0-9,900 Deep in the Dead ,900deep.zip,./WADs/Doom/Original/900deep_900deep.wad,./WADs/Doom/Processed - Vectorized/900deep_900deep_E1M1.svg,./WADs/Doom/Processed/900deep_900deep_E1M1.txt
Jay 'Jayextee' Townsend,"Capellan on the Doomworld forums had this neat project idea; to make maps in 100 lines, or less. I thought this was so cool, and made about seven maps for it. Then I thought to myself ""why not make my own episode of the things?"" Nine maps with less than 100 lines each, hence '900 Deep in the Dead'. This is quite the experimental wad. As such, many of the levels are shorter than you'd usually expect, more linear and without the kind of elaborately-crafted ambushes we know and love. Nonetheless, I hope there's something here you can enjoy. :)",Id Software for Doom,New Levels,,None known.,Between two and four hours per map.,3.6,27,70,57,2013-07-28,https://www.doomworld.com/files/file/17287-900-deep-in-the-dead/?do=download&csrfKey=b701a441ae0737d9df8ee781da7a5241,Doom,0-9,900 Deep in the Dead ,900deep.zip,./WADs/Doom/Original/900deep_900deep.wad,./WADs/Doom/Processed - Vectorized/900deep_900deep_E1M2.svg,./WADs/Doom/Processed/900deep_900deep_E1M2.txt
Jay 'Jayextee' Townsend,"Capellan on the Doomworld forums had this neat project idea; to make maps in 100 lines, or less. I thought this was so cool, and made about seven maps for it. Then I thought to myself ""why not make my own episode of the things?"" Nine maps with less than 100 lines each, hence '900 Deep in the Dead'. This is quite the experimental wad. As such, many of the levels are shorter than you'd usually expect, more linear and without the kind of elaborately-crafted ambushes we know and love. Nonetheless, I hope there's something here you can enjoy. :)",Id Software for Doom,New Levels,,None known.,Between two and four hours per map.,3.6,27,70,57,2013-07-28,https://www.doomworld.com/files/file/17287-900-deep-in-the-dead/?do=download&csrfKey=b701a441ae0737d9df8ee781da7a5241,Doom,0-9,900 Deep in the Dead ,900deep.zip,./WADs/Doom/Original/900deep_900deep.wad,./WADs/Doom/Processed - Vectorized/900deep_900deep_E1M3.svg,./WADs/Doom/Processed/900deep_900deep_E1M3.txt
Jay 'Jayextee' Townsend,"Capellan on the Doomworld forums had this neat project idea; to make maps in 100 lines, or less. I thought this was so cool, and made about seven maps for it. Then I thought to myself ""why not make my own episode of the things?"" Nine maps with less than 100 lines each, hence '900 Deep in the Dead'. This is quite the experimental wad. As such, many of the levels are shorter than you'd usually expect, more linear and without the kind of elaborately-crafted ambushes we know and love. Nonetheless, I hope there's something here you can enjoy. :)",Id Software for Doom,New Levels,,None known.,Between two and four hours per map.,3.6,27,70,57,2013-07-28,https://www.doomworld.com/files/file/17287-900-deep-in-the-dead/?do=download&csrfKey=b701a441ae0737d9df8ee781da7a5241,Doom,0-9,900 Deep in the Dead ,900deep.zip,./WADs/Doom/Original/900deep_900deep.wad,./WADs/Doom/Processed - Vectorized/900deep_900deep_E1M4.svg,./WADs/Doom/Processed/900deep_900deep_E1M4.txt
Jay 'Jayextee' Townsend,"Capellan on the Doomworld forums had this neat project idea; to make maps in 100 lines, or less. I thought this was so cool, and made about seven maps for it. Then I thought to myself ""why not make my own episode of the things?"" Nine maps with less than 100 lines each, hence '900 Deep in the Dead'. This is quite the experimental wad. As such, many of the levels are shorter than you'd usually expect, more linear and without the kind of elaborately-crafted ambushes we know and love. Nonetheless, I hope there's something here you can enjoy. :)",Id Software for Doom,New Levels,,None known.,Between two and four hours per map.,3.6,27,70,57,2013-07-28,https://www.doomworld.com/files/file/17287-900-deep-in-the-dead/?do=download&csrfKey=b701a441ae0737d9df8ee781da7a5241,Doom,0-9,900 Deep in the Dead ,900deep.zip,./WADs/Doom/Original/900deep_900deep.wad,./WADs/Doom/Processed - Vectorized/900deep_900deep_E1M5.svg,./WADs/Doom/Processed/900deep_900deep_E1M5.txt
Jay 'Jayextee' Townsend,"Capellan on the Doomworld forums had this neat project idea; to make maps in 100 lines, or less. I thought this was so cool, and made about seven maps for it. Then I thought to myself ""why not make my own episode of the things?"" Nine maps with less than 100 lines each, hence '900 Deep in the Dead'. This is quite the experimental wad. As such, many of the levels are shorter than you'd usually expect, more linear and without the kind of elaborately-crafted ambushes we know and love. Nonetheless, I hope there's something here you can enjoy. :)",Id Software for Doom,New Levels,,None known.,Between two and four hours per map.,3.6,27,70,57,2013-07-28,https://www.doomworld.com/files/file/17287-900-deep-in-the-dead/?do=download&csrfKey=b701a441ae0737d9df8ee781da7a5241,Doom,0-9,900 Deep in the Dead ,900deep.zip,./WADs/Doom/Original/900deep_900deep.wad,./WADs/Doom/Processed - Vectorized/900deep_900deep_E1M6.svg,./WADs/Doom/Processed/900deep_900deep_E1M6.txt
Jay 'Jayextee' Townsend,"Capellan on the Doomworld forums had this neat project idea; to make maps in 100 lines, or less. I thought this was so cool, and made about seven maps for it. Then I thought to myself ""why not make my own episode of the things?"" Nine maps with less than 100 lines each, hence '900 Deep in the Dead'. This is quite the experimental wad. As such, many of the levels are shorter than you'd usually expect, more linear and without the kind of elaborately-crafted ambushes we know and love. Nonetheless, I hope there's something here you can enjoy. :)",Id Software for Doom,New Levels,,None known.,Between two and four hours per map.,3.6,27,70,57,2013-07-28,https://www.doomworld.com/files/file/17287-900-deep-in-the-dead/?do=download&csrfKey=b701a441ae0737d9df8ee781da7a5241,Doom,0-9,900 Deep in the Dead ,900deep.zip,./WADs/Doom/Original/900deep_900deep.wad,./WADs/Doom/Processed - Vectorized/900deep_900deep_E1M7.svg,./WADs/Doom/Processed/900deep_900deep_E1M7.txt
Jay 'Jayextee' Townsend,"Capellan on the Doomworld forums had this neat project idea; to make maps in 100 lines, or less. I thought this was so cool, and made about seven maps for it. Then I thought to myself ""why not make my own episode of the things?"" Nine maps with less than 100 lines each, hence '900 Deep in the Dead'. This is quite the experimental wad. As such, many of the levels are shorter than you'd usually expect, more linear and without the kind of elaborately-crafted ambushes we know and love. Nonetheless, I hope there's something here you can enjoy. :)",Id Software for Doom,New Levels,,None known.,Between two and four hours per map.,3.6,27,70,57,2013-07-28,https://www.doomworld.com/files/file/17287-900-deep-in-the-dead/?do=download&csrfKey=b701a441ae0737d9df8ee781da7a5241,Doom,0-9,900 Deep in the Dead ,900deep.zip,./WADs/Doom/Original/900deep_900deep.wad,./WADs/Doom/Processed - Vectorized/900deep_900deep_E1M8.svg,./WADs/Doom/Processed/900deep_900deep_E1M8.txt
Jay 'Jayextee' Townsend,"Capellan on the Doomworld forums had this neat project idea; to make maps in 100 lines, or less. I thought this was so cool, and made about seven maps for it. Then I thought to myself ""why not make my own episode of the things?"" Nine maps with less than 100 lines each, hence '900 Deep in the Dead'. This is quite the experimental wad. As such, many of the levels are shorter than you'd usually expect, more linear and without the kind of elaborately-crafted ambushes we know and love. Nonetheless, I hope there's something here you can enjoy. :)",Id Software for Doom,New Levels,,None known.,Between two and four hours per map.,3.6,27,70,57,2013-07-28,https://www.doomworld.com/files/file/17287-900-deep-in-the-dead/?do=download&csrfKey=b701a441ae0737d9df8ee781da7a5241,Doom,0-9,900 Deep in the Dead ,900deep.zip,./WADs/Doom/Original/900deep_900deep.wad,./WADs/Doom/Processed - Vectorized/900deep_900deep_E1M9.svg,./WADs/Doom/Processed/900deep_900deep_E1M9.txt
The Chaos Brothers David Montgomery & Jim Milner,"This is an outside Pwad, and is intended as the opening level to our remake of the ""Shores of Hell"" episode. Having survived ""Knee Deep in the Dead"" You find yourself in a strange, maze-like structure that is open to the sky. You Know that you have discovered the lair of Acerjak, a former human who bartered his soul (along with the human race) to the hellspawn of Demons.","ID software, DEU 5.2 & BSP 1.0 We couldn't have done it without you.",New level from scratch,"DEU 5.2, DEU5.2gcc, BSP 1.0",none as built,,1,6,76,26,2012-11-16,https://www.doomworld.com/files/file/17005-descent-into-the-depths-of-chaos-1/?do=download&csrfKey=69234aa4ecf83239314c779704c168a4,Doom,0-9,Descent into the Depths of Chaos #1 ,1chaos.zip,./WADs/Doom/Original/1chaos__1CHAOS.WAD,./WADs/Doom/Processed - Vectorized/1chaos__1CHAOS_E2M1.svg,./WADs/Doom/Processed/1chaos__1CHAOS_E2M1.txt
The Chaos Brothers David Montgomery & Jim Milner,"This is a maze-like Pwad, and is intended as the third level to our remake of the ""Shores of Hell"" episode. You find yourself in a series of small, confining rooms, with no idea where in the HELL you are. Patterns are important...","ID software, DEU 5.2 & BSP 1.0 We couldn't have done it without you. And to the authors of UAC_DEAD for the invisible walls idea. That is a Bitchin' wad file dudes.",New level from scratch,"DEU 5.2, DEU5.2gcc, BSP 1.0",none as built,,1.7,9,36,24,2012-11-16,https://www.doomworld.com/files/file/17006-descent-into-the-depths-of-chaos-3/?do=download&csrfKey=9629572b0cf5035a5c040afadfe17dea,Doom,0-9,Descent into the Depths of Chaos #3 ,3chaos.zip,./WADs/Doom/Original/3chaos__3CHAOS.WAD,./WADs/Doom/Processed - Vectorized/3chaos__3CHAOS_E2M3.svg,./WADs/Doom/Processed/3chaos__3CHAOS_E2M3.txt
The Chaos Brothers David Montgomery & Jim Milner,"This Pwad is intended as the secret level to our remake of the ""Shores of Hell"" episode.  No hint's, but be afraid, be very afraid... ... and have lots of DOOM style fun!","ID software, DEU 5.2 & BSP 1.0 We couldn't have done it without you.",New level from scratch,"DEU 5.2, DEU5.2gcc, BSP 1.0",The DOOM 1.2 engine has a bug that flashes a blank texture when you cross under a texture that is more than 512 high.,,1.5,6,60,21,2012-11-16,https://www.doomworld.com/files/file/17007-descent-into-the-depths-of-chaos-9/?do=download&csrfKey=48340b437fe79c44552984d8af8473f4,Doom,0-9,Descent into the Depths of Chaos #9 ,9chaos.zip,./WADs/Doom/Original/9chaos__9CHAOS.WAD,./WADs/Doom/Processed - Vectorized/9chaos__9CHAOS_E2M9.svg,./WADs/Doom/Processed/9chaos__9CHAOS_E2M9.txt
Philnemba,A speedmap provideing a decent challenge if you don't mine a large mass of cacodemons and teleporting cyberdemons in a 1024 size room :P,Id software for Doom & 40oz for bitching about not getting a map for his birthday,Scratch,"Doom Builder 2, Slumped",none,25 minutes,2,9,72,24,2010-12-21,https://www.doomworld.com/files/file/16305-happy-frickin-birthday-40oz/?do=download&csrfKey=b1b36306e1846a5e33af7aa1e7c39362,Doom,0-9,Happy Frickin Birthday 40oz ,40ozbdy.zip,./WADs/Doom/Original/40ozbdy_40ozbdy.wad,./WADs/Doom/Processed - Vectorized/40ozbdy_40ozbdy_E1M1.svg,./WADs/Doom/Processed/40ozbdy_40ozbdy_E1M1.txt
Guy Stockie,A fort with demons to fight against.,-,New from scratch,?,?,?,3.6,13,53,31,2007-04-13,https://www.doomworld.com/files/file/14894-fort-knocks-pwad/?do=download&csrfKey=b9c12f1d24a6a0a2b254a3a05aeaf0aa,Doom,0-9,Fort Knocks PWAD ,11fortko.zip,./WADs/Doom/Original/11fortko_11FORTKO.WAD,./WADs/Doom/Processed - Vectorized/11fortko_11FORTKO_E1M1.svg,./WADs/Doom/Processed/11fortko_11FORTKO_E1M1.txt
Dan Buckley,"This is my first attempt at building a level, hence the name. It's not particularly fancy but will hopefully be entertaining. Future levels of mine will be more complicated as I learn to use the editor. I don't have a sound board so I did'nt bother editting sounds and have no idea what this level will sound like with a sound board.",,The level is from scratch.,Doomedit v6.20,-,,3,7,47,20,2007-04-13,https://www.doomworld.com/files/file/14913-1sttrywad/?do=download&csrfKey=d17c9c67b029ab5ce70a0b66793b19c5,Doom,0-9,1sttry.wad ,1sttry.zip,./WADs/Doom/Original/1sttry_1STTRY.WAD,./WADs/Doom/Processed - Vectorized/1sttry_1STTRY_E1M1.svg,./WADs/Doom/Processed/1sttry_1STTRY_E1M1.txt
Unknown,"The monsters want to kill you. Because of that, you have to kill them.",,New from scratch,,,,1.8,6,68,18,2006-06-10,https://www.doomworld.com/files/file/14466-e1m1wad-in-54102zip/?do=download&csrfKey=f8e6d2c479db1e71f22dd100f48ad3ef,Doom,0-9,E1M1.WAD in 54102.zip ,54102.zip,./WADs/Doom/Original/54102_E1M1.WAD,./WADs/Doom/Processed - Vectorized/54102_E1M1_E1M1.svg,./WADs/Doom/Processed/54102_E1M1_E1M1.txt
"Ror, Jim, Chris","My brothers and I were DOOM addicts, but when we finally found a usable PWAD editor, we were reborn as DOOM junkies. Thus, we humbly offer these PWAD files to all other DOOM junkies or addicts. All of the PWAD files enclosed in this package are described below: FILE NAME LEVEL NOTES ------------ ----- ---------- IB2TUF4U.WAD E1M1 Great for single or multi- player modes. Lots of secret rooms, but not to hard. Created by Ror. ib2t_zen.wad Above level with rebuild REJECT. UBSCRWD.WAD E1M1 Great Level, but nominated as most likely to piss you off! (Single or Multi are OK) Created by Jim. ubsc_zen.wad Above level with rebuild REJECT. LOOKOUT.WAD E1M1 Psycho nut-case level made by my little brother. We recommend God Mode if you know the code for it. (Single only) Created by Chris. look_zen.wad Above level with rebuild REJECT.","However, we must offer a bit of positive press for the DOOM editor (DOOMED) written by Geoff Allen. This editor, which is runs in MS Windows, is so friendly even my seven year old brother can use it!",New from scratch,DOOMED,,,2,2,32,14,2006-03-03,https://www.doomworld.com/files/file/14220-ib2tuf4uwad-ubscrwdwad-lookoutwad/?do=download&csrfKey=ad17cc98bc8b91c903888fae6bc53065,Doom,0-9,IB2TUF4U.WAD UBSCRWD.WAD LOOKOUT.WAD ,3ripnwad.zip,./WADs/Doom/Original/3ripnwad_ib2t_zen.wad,./WADs/Doom/Processed - Vectorized/3ripnwad_ib2t_zen_E1M1.svg,./WADs/Doom/Processed/3ripnwad_ib2t_zen_E1M1.txt
"Ror, Jim, Chris","My brothers and I were DOOM addicts, but when we finally found a usable PWAD editor, we were reborn as DOOM junkies. Thus, we humbly offer these PWAD files to all other DOOM junkies or addicts. All of the PWAD files enclosed in this package are described below: FILE NAME LEVEL NOTES ------------ ----- ---------- IB2TUF4U.WAD E1M1 Great for single or multi- player modes. Lots of secret rooms, but not to hard. Created by Ror. ib2t_zen.wad Above level with rebuild REJECT. UBSCRWD.WAD E1M1 Great Level, but nominated as most likely to piss you off! (Single or Multi are OK) Created by Jim. ubsc_zen.wad Above level with rebuild REJECT. LOOKOUT.WAD E1M1 Psycho nut-case level made by my little brother. We recommend God Mode if you know the code for it. (Single only) Created by Chris. look_zen.wad Above level with rebuild REJECT.","However, we must offer a bit of positive press for the DOOM editor (DOOMED) written by Geoff Allen. This editor, which is runs in MS Windows, is so friendly even my seven year old brother can use it!",New from scratch,DOOMED,,,2,2,32,14,2006-03-03,https://www.doomworld.com/files/file/14220-ib2tuf4uwad-ubscrwdwad-lookoutwad/?do=download&csrfKey=ad17cc98bc8b91c903888fae6bc53065,Doom,0-9,IB2TUF4U.WAD UBSCRWD.WAD LOOKOUT.WAD ,3ripnwad.zip,./WADs/Doom/Original/3ripnwad_IB2TUF4U.WAD,./WADs/Doom/Processed - Vectorized/3ripnwad_IB2TUF4U_E1M1.svg,./WADs/Doom/Processed/3ripnwad_IB2TUF4U_E1M1.txt
"Ror, Jim, Chris","My brothers and I were DOOM addicts, but when we finally found a usable PWAD editor, we were reborn as DOOM junkies. Thus, we humbly offer these PWAD files to all other DOOM junkies or addicts. All of the PWAD files enclosed in this package are described below: FILE NAME LEVEL NOTES ------------ ----- ---------- IB2TUF4U.WAD E1M1 Great for single or multi- player modes. Lots of secret rooms, but not to hard. Created by Ror. ib2t_zen.wad Above level with rebuild REJECT. UBSCRWD.WAD E1M1 Great Level, but nominated as most likely to piss you off! (Single or Multi are OK) Created by Jim. ubsc_zen.wad Above level with rebuild REJECT. LOOKOUT.WAD E1M1 Psycho nut-case level made by my little brother. We recommend God Mode if you know the code for it. (Single only) Created by Chris. look_zen.wad Above level with rebuild REJECT.","However, we must offer a bit of positive press for the DOOM editor (DOOMED) written by Geoff Allen. This editor, which is runs in MS Windows, is so friendly even my seven year old brother can use it!",New from scratch,DOOMED,,,2,2,32,14,2006-03-03,https://www.doomworld.com/files/file/14220-ib2tuf4uwad-ubscrwdwad-lookoutwad/?do=download&csrfKey=ad17cc98bc8b91c903888fae6bc53065,Doom,0-9,IB2TUF4U.WAD UBSCRWD.WAD LOOKOUT.WAD ,3ripnwad.zip,./WADs/Doom/Original/3ripnwad_look_zen.wad,./WADs/Doom/Processed - Vectorized/3ripnwad_look_zen_E1M1.svg,./WADs/Doom/Processed/3ripnwad_look_zen_E1M1.txt
"Ror, Jim, Chris","My brothers and I were DOOM addicts, but when we finally found a usable PWAD editor, we were reborn as DOOM junkies. Thus, we humbly offer these PWAD files to all other DOOM junkies or addicts. All of the PWAD files enclosed in this package are described below: FILE NAME LEVEL NOTES ------------ ----- ---------- IB2TUF4U.WAD E1M1 Great for single or multi- player modes. Lots of secret rooms, but not to hard. Created by Ror. ib2t_zen.wad Above level with rebuild REJECT. UBSCRWD.WAD E1M1 Great Level, but nominated as most likely to piss you off! (Single or Multi are OK) Created by Jim. ubsc_zen.wad Above level with rebuild REJECT. LOOKOUT.WAD E1M1 Psycho nut-case level made by my little brother. We recommend God Mode if you know the code for it. (Single only) Created by Chris. look_zen.wad Above level with rebuild REJECT.","However, we must offer a bit of positive press for the DOOM editor (DOOMED) written by Geoff Allen. This editor, which is runs in MS Windows, is so friendly even my seven year old brother can use it!",New from scratch,DOOMED,,,2,2,32,14,2006-03-03,https://www.doomworld.com/files/file/14220-ib2tuf4uwad-ubscrwdwad-lookoutwad/?do=download&csrfKey=ad17cc98bc8b91c903888fae6bc53065,Doom,0-9,IB2TUF4U.WAD UBSCRWD.WAD LOOKOUT.WAD ,3ripnwad.zip,./WADs/Doom/Original/3ripnwad_LOOKOUT.WAD,./WADs/Doom/Processed - Vectorized/3ripnwad_LOOKOUT_E1M1.svg,./WADs/Doom/Processed/3ripnwad_LOOKOUT_E1M1.txt
"Ror, Jim, Chris","My brothers and I were DOOM addicts, but when we finally found a usable PWAD editor, we were reborn as DOOM junkies. Thus, we humbly offer these PWAD files to all other DOOM junkies or addicts. All of the PWAD files enclosed in this package are described below: FILE NAME LEVEL NOTES ------------ ----- ---------- IB2TUF4U.WAD E1M1 Great for single or multi- player modes. Lots of secret rooms, but not to hard. Created by Ror. ib2t_zen.wad Above level with rebuild REJECT. UBSCRWD.WAD E1M1 Great Level, but nominated as most likely to piss you off! (Single or Multi are OK) Created by Jim. ubsc_zen.wad Above level with rebuild REJECT. LOOKOUT.WAD E1M1 Psycho nut-case level made by my little brother. We recommend God Mode if you know the code for it. (Single only) Created by Chris. look_zen.wad Above level with rebuild REJECT.","However, we must offer a bit of positive press for the DOOM editor (DOOMED) written by Geoff Allen. This editor, which is runs in MS Windows, is so friendly even my seven year old brother can use it!",New from scratch,DOOMED,,,2,2,32,14,2006-03-03,https://www.doomworld.com/files/file/14220-ib2tuf4uwad-ubscrwdwad-lookoutwad/?do=download&csrfKey=ad17cc98bc8b91c903888fae6bc53065,Doom,0-9,IB2TUF4U.WAD UBSCRWD.WAD LOOKOUT.WAD ,3ripnwad.zip,./WADs/Doom/Original/3ripnwad_ubsc_zen.wad,./WADs/Doom/Processed - Vectorized/3ripnwad_ubsc_zen_E1M1.svg,./WADs/Doom/Processed/3ripnwad_ubsc_zen_E1M1.txt
"Ror, Jim, Chris","My brothers and I were DOOM addicts, but when we finally found a usable PWAD editor, we were reborn as DOOM junkies. Thus, we humbly offer these PWAD files to all other DOOM junkies or addicts. All of the PWAD files enclosed in this package are described below: FILE NAME LEVEL NOTES ------------ ----- ---------- IB2TUF4U.WAD E1M1 Great for single or multi- player modes. Lots of secret rooms, but not to hard. Created by Ror. ib2t_zen.wad Above level with rebuild REJECT. UBSCRWD.WAD E1M1 Great Level, but nominated as most likely to piss you off! (Single or Multi are OK) Created by Jim. ubsc_zen.wad Above level with rebuild REJECT. LOOKOUT.WAD E1M1 Psycho nut-case level made by my little brother. We recommend God Mode if you know the code for it. (Single only) Created by Chris. look_zen.wad Above level with rebuild REJECT.","However, we must offer a bit of positive press for the DOOM editor (DOOMED) written by Geoff Allen. This editor, which is runs in MS Windows, is so friendly even my seven year old brother can use it!",New from scratch,DOOMED,,,2,2,32,14,2006-03-03,https://www.doomworld.com/files/file/14220-ib2tuf4uwad-ubscrwdwad-lookoutwad/?do=download&csrfKey=ad17cc98bc8b91c903888fae6bc53065,Doom,0-9,IB2TUF4U.WAD UBSCRWD.WAD LOOKOUT.WAD ,3ripnwad.zip,./WADs/Doom/Original/3ripnwad_UBSCRWD.WAD,./WADs/Doom/Processed - Vectorized/3ripnwad_UBSCRWD_E1M1.svg,./WADs/Doom/Processed/3ripnwad_UBSCRWD_E1M1.txt
Vance Januszewski,"This is my first and level and its crude, but don't expect to make it threw the first time around. I suggest skill level one if you don't have at least a dx2-66. with 8 meg. I did not know that the more things in a sector the more it slows down.",Kurt Januszewski (Nul Modem team) Perry Januszewski (Null Modem team),New from scratch,DEU5.21,Window at exit slows computer down. Brown wall in spider room does not always drop when you cross the trigger line. To much ammo and health. To many monsters. Sectors to big. Hallways too long. Level too long.,Too long.,2.7,32,45,43,2006-03-03,https://www.doomworld.com/files/file/14233-0wad/?do=download&csrfKey=935d803db3f01ea056483c4e98b1bb8d,Doom,0-9,0.wad ,0.zip,./WADs/Doom/Original/0_0.WAD,./WADs/Doom/Processed - Vectorized/0_0_E1M1.svg,./WADs/Doom/Processed/0_0_E1M1.txt
Tom Petrillo,"A couple of cavernous rooms with too many monsters, snipers up high, lots of trip wires - watch yer' back. Because of the amount of monsters in Ultra-Violence, the game may be choppy on slow machines.","Mumbles, Fat Boy, Phil, DEU authors.",New from scratch,"DEU 5.0, 5.1, & 5.2","I am aware of a few small flaws, however these do not affect gameplay, except the first door sometimes locks up. I've decided to release this and perhaps create an update level in the near future.",,3,5,113,19,2006-03-03,https://www.doomworld.com/files/file/14238-2badwad-version-10/?do=download&csrfKey=9fc9b7cae623367d105a20603b96b991,Doom,0-9,"2BAD.WAD, version 1.0 ",2bad.zip,./WADs/Doom/Original/2bad_2BAD.WAD,./WADs/Doom/Processed - Vectorized/2bad_2BAD_E1M6.svg,./WADs/Doom/Processed/2bad_2BAD_E1M6.txt
Calypso,"303 (Denver Colorado Area Code) Design based on blue prints of actual 303. This is the first of many 303 levels I will do, and I will eventually replace a few textures with some of my own. -----> If the game runs to slowly, um, buy a IMPORTANT!-----> 486 or something. ----->",All the krad guys in 303 ID,303SUX1.WAD,DEU 5.2,"The Scrolling walls look lame because you can see like where the texture ends and starts. I'm working on that. Also, Once you shoot in the first level, all bad guys know your there and come after you. Also, E2M2 lags quite a bit in the maze.",About 9 Hours,2,9,35,21,2006-03-03,https://www.doomworld.com/files/file/14243-303-sucks-version-21/?do=download&csrfKey=6a94f33790804c3a373e3e7640639504,Doom,0-9,303 Sucks! (Version 2.1) ,303sux2.zip,./WADs/Doom/Original/303sux2_303SUX2.WAD,./WADs/Doom/Processed - Vectorized/303sux2_303SUX2_E2M1.svg,./WADs/Doom/Processed/303sux2_303SUX2_E2M1.txt
